ax (m/s^2),ay (m/s^2),az (m/s^2)
0.0572,-0.049,-0.2501
0.1327,-0.1845,-0.3008
0.1496,-0.2141,-0.3245
0.1314,-0.2334,-0.379
0.0898,-0.2903,-0.402
-0.0025,-0.3038,-0.359
-0.0838,-0.3101,-0.2225
-0.128,-0.2954,0.0186
-0.0605,-0.1976,0.1062
-0.061,-0.0981,0.0398
-0.0745,-0.0159,0.0327
-0.0431,0.0468,0.0315
-0.0266,0.0445,0.0193
0.0091,-0.0034,-0.0621
0.0715,-0.0462,-0.2187
0.0748,-0.0692,-0.341
0.093,-0.0892,-0.3909
0.1122,-0.1161,-0.3697
0.0768,-0.1433,-0.2546
0.0253,-0.1231,-0.1234
0.0321,-0.1538,-0.0981
0.03,-0.166,-0.1237
0.0022,-0.1572,-0.1501
-0.0328,-0.1081,-0.1825
-0.0564,-0.0474,-0.2283
-0.0425,0.0061,-0.2213
0.0357,0.0622,-0.2794
0.1139,0.0997,-0.3416
0.1446,0.0829,-0.3464
0.147,0.0217,-0.3802
0.1237,-0.0771,-0.3588
0.0722,-0.2065,-0.2982
-0.031,-0.2929,-0.1989
-0.1648,-0.2866,-0.0449
-0.2094,-0.3696,0.0082
-0.299,-0.4003,-0.0934
-0.3944,-0.4736,-0.2201
-0.7074,-0.2782,-0.3463
-0.5012,-0.1205,-0.2321
-0.3468,-0.0441,-0.1329
-0.2504,0.0086,-0.0579
-0.2428,0.0156,-0.0157
-0.2809,-0.0377,-0.0177
-0.3576,-0.1132,-0.0656
-0.4616,-0.2274,-0.1191
-0.5871,-0.3108,-0.2268
-0.7357,-0.2193,-0.3614
-0.7696,-0.1035,-0.4876
-0.7633,0.0033,-0.5916
-0.7098,0.1058,-0.6229
-0.6014,0.1535,-0.6192
-0.4274,0.17,-0.6396
-0.2752,0.1841,-0.6693
-0.1409,0.1909,-0.7084
-0.0337,0.2074,-0.7521
0.0275,0.2359,-0.7841
0.028,0.2791,-0.8334
0.0256,0.2533,-0.8598
-0.001,0.2159,-0.9038
-0.1097,0.1191,-0.8986
-0.2414,0.0443,-0.8917
-0.3488,-0.0374,-0.8786
-0.4136,-0.0828,-0.8665
-0.4835,-0.1134,-0.8672
-0.5251,-0.0911,-0.8544
-0.5796,-0.0686,-0.8444
-0.5897,-0.0796,-0.8131
-0.5791,-0.1002,-0.7911
-0.5645,-0.157,-0.7803
-0.5459,-0.2071,-0.7898
-0.5446,-0.2218,-0.8389
-0.5659,-0.2272,-0.8848
-0.5791,-0.1658,-0.9349
-0.6133,-0.0998,-0.9898
-0.6064,-0.0529,-1.0304
-0.5634,-0.0253,-1.0448
-0.5392,-0.0241,-1.0592
-0.4975,-0.042,-1.0955
-0.4859,-0.0526,-1.1227
-0.4917,-0.0535,-1.1454
-0.5223,-0.0208,-1.1492
-0.5849,0.043,-1.1435
-0.6605,0.1236,-1.1114
-0.7159,0.1656,-1.0958
-0.7701,0.1666,-1.0794
-0.806,0.1359,-1.071
-0.8492,0.102,-1.0391
-0.9267,0.0961,-1.0557
-0.9619,0.1279,-1.1236
-0.9331,0.212,-1.1855
-0.878,0.3318,-1.2688
-0.8037,0.4806,-1.3546
-0.7478,0.5793,-1.4195
-0.7028,0.6184,-1.4202
-0.6728,0.6001,-1.4041
-0.6815,0.5288,-1.3677
-0.7649,0.4785,-1.3418
-0.8998,0.4515,-1.3669
-1.092,0.486,-1.4645
-1.2636,0.5319,-1.5917
-1.3367,0.5602,-1.7313
-1.3598,0.5806,-1.8812
-1.3291,0.5819,-2.0265
-1.1956,0.6347,-2.1179
-0.9386,0.7145,-2.1883
-0.4938,0.8848,-2.2528
0.064,1.0909,-2.2973
0.4525,1.2506,-2.1258
0.4338,1.3033,-1.5946
-0.0234,1.2694,-0.8494
-0.7657,1.2797,-0.0361
-1.4924,1.347,0.7553
-2.0116,1.4208,1.4974
-2.3071,1.4263,2.0889
-2.3562,1.2894,2.443
-2.041,0.9453,2.4232
-1.4658,0.448,2.0432
-0.79,-0.0493,1.4104
-0.1584,-0.4601,0.7633
0.3688,-0.7914,0.1129
0.775,-1.0434,-0.4957
1.0726,-1.2285,-0.9883
1.2813,-1.3574,-1.2844
1.4499,-1.4511,-1.366
1.4834,-1.539,-1.2247
1.3603,-1.5719,-0.9005
1.0671,-1.5947,-0.4059
0.6293,-1.5734,0.1873
0.1932,-1.4646,0.8027
-0.1216,-1.2773,1.2743
-0.2602,-1.0053,1.6237
-0.295,-0.661,1.818
-0.2543,-0.2802,1.8474
-0.1965,0.0755,1.7197
-0.1868,0.436,1.4661
-0.2617,0.7999,1.1008
-0.3668,1.13,0.7486
-0.4883,1.2738,0.3689
-0.5018,1.1793,0.0874
-0.3964,0.835,-0.0897
-0.2298,0.4227,-0.1717
-0.0554,0.0427,-0.1771
0.1019,-0.2717,-0.1437
0.2494,-0.4679,-0.0806
0.3685,-0.5774,-0.0377
0.459,-0.6123,-0.0576
0.5374,-0.6517,-0.0176
0.6468,-0.6792,-0.013
0.7825,-0.7141,-0.0338
0.8924,-0.7201,-0.1071
0.9989,-0.7282,-0.2335
1.108,-0.7312,-0.3297
1.1743,-0.7647,-0.4036
1.2439,-0.8117,-0.4892
1.2448,-0.8411,-0.5392
1.2129,-0.8528,-0.5654
1.1792,-0.8374,-0.5772
1.1104,-0.764,-0.5813
1.0547,-0.6782,-0.556
0.9622,-0.5777,-0.5129
0.8107,-0.4867,-0.4587
0.6163,-0.3838,-0.405
0.4284,-0.3431,-0.3898
0.2872,-0.3361,-0.3815
0.1802,-0.3246,-0.3822
0.1075,-0.347,-0.4204
0.0546,-0.3913,-0.4818
0.072,-0.4694,-0.55
0.1127,-0.5548,-0.6563
0.134,-0.6476,-0.7482
0.131,-0.7143,-0.8903
0.1229,-0.7305,-1.0019
0.0723,-0.7255,-1.1566
-0.0113,-0.6731,-1.2745
-0.0925,-0.5951,-1.3002
-0.1501,-0.4391,-1.3307
-0.1467,-0.2795,-1.3658
-0.0904,-0.1301,-1.3777
0.0126,-0.0669,-1.3606
0.2136,-0.0362,-1.3214
0.4018,-0.0397,-1.3315
0.6367,0.0071,-1.3011
0.859,0.0539,-1.2304
1.0814,0.1099,-1.0827
1.2133,0.2128,-0.8445
1.2643,0.3831,-0.5973
1.2294,0.5529,-0.3867
1.1542,0.7811,-0.2394
1.0594,1.0047,-0.2064
0.9878,1.1991,-0.3013
0.9244,1.3545,-0.49
0.8503,1.4422,-0.7802
0.7363,1.4555,-1.1438
0.6037,1.4499,-1.5792
0.4673,1.4646,-1.9257
0.3828,1.4828,-2.2099
0.2352,1.6176,-2.5318
-0.0794,1.9953,-2.5888
-0.2601,2.4888,-2.1225
0.0379,2.6489,-1.4862
0.8596,2.2305,-0.8067
1.7613,1.5992,-0.0539
2.3767,1.0987,0.7043
2.6167,0.8507,1.5131
2.4724,0.7702,2.2864
1.9718,0.6913,2.7633
1.1801,0.5007,2.9357
0.1818,0.2345,2.8705
-0.8165,-0.0721,2.6156
-1.574,-0.4718,2.1739
-1.9735,-1.012,1.5638
-2.0795,-1.6564,0.8775
-2.0093,-2.1776,0.2221
-1.7894,-2.4757,-0.2386
-1.4085,-2.5117,-0.552
-0.9034,-2.3382,-0.6733
-0.3887,-1.9602,-0.6523
0.127,-1.4551,-0.5061
0.5938,-0.9278,-0.2356
0.9171,-0.464,0.1685
1.0046,-0.0948,0.6462
0.8249,0.2282,1.1682
0.443,0.4579,1.6807
0.0359,0.5575,2.0326
-0.3391,0.5939,2.1694
-0.6839,0.5797,2.1073
-1.0036,0.5908,1.8453
-1.1996,0.531,1.4177
-1.2371,0.3997,0.914
-1.1667,0.1165,0.4126
-1.0967,-0.3012,-0.035
-0.9906,-0.791,-0.4176
-0.9129,-1.2236,-0.6923
-0.9237,-1.532,-0.8759
-0.9833,-1.6897,-0.9786
-1.1046,-1.6822,-1.0579
-1.2484,-1.5766,-1.0636
-1.3705,-1.3921,-1.0172
-1.4481,-1.1672,-0.9783
-1.4472,-0.9693,-0.8788
-1.36,-0.8206,-0.7246
-1.1976,-0.7051,-0.5254
-1.0551,-0.6692,-0.3032
-0.8984,-0.6464,-0.1115
-0.821,-0.6368,-0.048
-0.7828,-0.6024,-0.0718
-0.7769,-0.5884,-0.1689
-0.746,-0.5968,-0.3861
-0.745,-0.6029,-0.6486
-0.74,-0.6421,-0.9529
-0.7808,-0.7042,-1.2525
-0.7994,-0.7724,-1.4665
-0.8289,-0.8156,-1.5899
-0.84,-0.834,-1.6267
-0.878,-0.8113,-1.6215
-0.9649,-0.7119,-1.59
-1.0408,-0.5269,-1.5427
-1.152,-0.235,-1.5195
-1.1917,0.0824,-1.4961
-1.1903,0.3632,-1.4975
-1.1341,0.5225,-1.5598
-1.0311,0.5515,-1.5299
-0.931,0.5176,-1.3511
-0.871,0.4468,-1.1926
-0.8407,0.3504,-1.06
-0.8094,0.2733,-0.9207
-0.7786,0.3061,-0.8241
-0.8561,0.4556,-0.7384
-1.0631,0.6759,-0.6983
-1.2381,0.928,-0.6753
-1.3725,1.1655,-0.732
-1.3536,1.3448,-0.8982
-1.1382,1.4325,-1.2168
-0.9109,1.4511,-1.6215
-0.7249,1.4469,-1.9974
-0.4371,1.5384,-2.2586
-0.0205,1.8263,-2.3847
0.3254,2.3268,-2.2335
0.3039,2.6501,-1.6464
-0.2566,2.6295,-0.6475
-1.3345,2.3698,0.5342
-2.5284,2.0382,1.915
-3.3851,1.7058,3.2821
-3.6926,1.341,4.2934
-3.3112,0.9065,4.7187
-2.279,0.406,4.4874
-0.9101,-0.064,3.8182
0.4402,-0.6051,2.9555
1.5124,-1.324,2.0476
2.275,-2.0599,1.1576
2.7557,-2.6457,0.3697
2.974,-2.8263,-0.3514
2.8598,-2.5549,-1.0458
2.3692,-2.0124,-1.595
1.5082,-1.3183,-1.8274
0.3981,-0.6315,-1.6878
-0.7073,-0.0762,-1.1486
-1.6292,0.2755,-0.3272
-2.2524,0.5213,0.6777
-2.5157,0.6731,1.6237
-2.3527,0.7643,2.3726
-1.7827,0.7504,2.8274
-0.9622,0.5882,2.9719
-0.1083,0.3243,2.7872
0.5534,0.049,2.3246
1.0304,-0.1781,1.6871
1.2768,-0.4366,0.9391
1.3878,-0.7989,0.2056
1.3433,-1.2398,-0.441
1.2927,-1.6649,-0.9416
1.2414,-1.9681,-1.2605
1.2305,-2.1492,-1.4516
1.2212,-2.1724,-1.4882
1.1961,-2.0861,-1.3808
1.1569,-1.9224,-1.134
1.1193,-1.663,-0.831
1.086,-1.4391,-0.4481
0.9578,-1.1251,-0.0512
0.7402,-0.8511,0.2474
0.4984,-0.5891,0.4277
0.2767,-0.4017,0.4812
0.0785,-0.2483,0.4561
0.0455,-0.2054,0.2853
0.1339,-0.294,-0.0237
0.3178,-0.5157,-0.4252
0.5138,-0.8147,-0.8404
0.6062,-1.1087,-1.2526
0.5761,-1.3418,-1.5871
0.4849,-1.5424,-1.8735
0.3724,-1.6361,-2.0711
0.2758,-1.6565,-2.2273
0.2281,-1.5321,-2.3008
0.2028,-1.2697,-2.3134
0.1918,-0.8958,-2.2359
0.1763,-0.4434,-1.9876
0.1903,-0.0009,-1.6647
0.1701,0.5294,-1.2896
0.2077,1.0192,-0.7871
0.3289,1.395,-0.2058
0.4465,1.6768,0.3353
0.5253,1.8926,0.7421
0.6456,1.9777,0.9288
0.8229,1.9845,0.8667
1.0658,1.865,0.5947
1.3333,1.6354,0.1396
1.4884,1.4205,-0.4443
1.4272,1.2643,-1.2018
1.1632,1.2187,-2.0291
0.8043,1.2285,-2.8039
0.4419,1.273,-3.4123
0.0645,1.3225,-3.9762
-0.6008,1.6686,-4.2354
-1.2051,2.4801,-3.6217
-1.2873,3.2094,-2.2886
-0.6106,3.2788,-0.593
0.5441,2.6193,1.134
1.6208,1.5897,2.6615
2.3595,0.5288,4.0603
2.6899,-0.3453,5.1746
2.6345,-1.0234,5.7602
2.2628,-1.5494,5.8614
1.5312,-1.8033,5.5687
0.432,-1.6747,4.854
-0.7418,-1.3739,3.7744
-1.6871,-1.1462,2.3712
-2.1537,-1.0021,0.91
-2.1397,-0.9226,-0.393
-1.6356,-0.8761,-1.3515
-0.8038,-0.8117,-1.9262
0.1018,-0.6751,-1.9681
0.8931,-0.5239,-1.6279
1.4395,-0.4064,-0.9255
1.6695,-0.3834,-0.0031
1.5754,-0.485,1.0092
1.2036,-0.5628,1.848
0.5286,-0.5659,2.4604
-0.2753,-0.5566,2.745
-0.9596,-0.529,2.6742
-1.3561,-0.469,2.2577
-1.4841,-0.408,1.5925
-1.4465,-0.43,0.8461
-1.2847,-0.531,0.1038
-1.1211,-0.7596,-0.5069
-0.9317,-1.0843,-0.8759
-0.8392,-1.4189,-1.02
-0.844,-1.7258,-0.9903
-0.9448,-1.9385,-0.8661
-1.0855,-2.0123,-0.7147
-1.2047,-1.986,-0.5894
-1.3383,-1.8409,-0.4942
-1.5079,-1.5823,-0.4273
-1.5937,-1.2755,-0.3393
-1.6333,-0.952,-0.2647
-1.5469,-0.6695,-0.227
-1.4486,-0.4738,-0.2185
-1.2977,-0.3769,-0.2318
-1.1756,-0.3527,-0.2614
-1.0948,-0.3512,-0.2993
-0.9889,-0.3676,-0.3985
-0.9662,-0.3486,-0.5723
-0.9692,-0.3609,-0.8074
-0.9833,-0.4283,-1.064
-0.9744,-0.5002,-1.3039
-0.997,-0.5814,-1.5229
-1.0031,-0.6838,-1.7134
-0.9899,-0.7671,-1.8463
-0.9209,-0.8046,-1.9341
-0.8162,-0.789,-1.9918
-0.7134,-0.6529,-2.0108
-0.6472,-0.4769,-1.9987
-0.6077,-0.2702,-1.8343
-0.4993,-0.0329,-1.5316
-0.4202,0.213,-1.1541
-0.3435,0.4215,-0.8006
-0.1861,0.5701,-0.4715
-0.0862,0.6724,-0.1936
-0.0899,0.7871,0.0357
-0.2906,0.9824,0.2102
-0.696,1.2237,0.2517
-1.1512,1.4699,0.0781
-1.4938,1.695,-0.2795
-1.7196,1.8708,-0.8197
-1.764,1.9816,-1.449
-1.5763,1.9931,-2.2388
-1.2528,1.9849,-3.0304
-0.8533,1.9398,-3.7054
-0.2776,1.9447,-4.1141
0.1304,2.0713,-3.9293
-0.0977,2.0802,-2.9347
-1.011,1.8446,-1.3782
-2.1398,1.481,0.3569
-2.9624,1.1554,2.1732
-3.217,0.9086,3.8555
-2.9292,0.5989,5.1609
-2.1221,0.0746,5.8517
-0.976,-0.5544,5.8183
0.1856,-1.1384,5.3035
1.1508,-1.5599,4.5653
1.8028,-1.7898,3.6429
2.1269,-1.9712,2.4974
2.1464,-1.969,1.2207
1.8222,-1.7253,-0.0311
1.204,-1.3049,-1.0765
0.3297,-0.7402,-1.738
-0.5145,-0.1821,-1.9877
-1.3048,0.2581,-1.769
-1.8803,0.497,-1.1786
-2.088,0.3815,-0.341
-2.0093,0.1702,0.6003
-1.6785,0.0236,1.4946
-1.1121,-0.0795,2.1871
-0.3996,-0.2045,2.5796
0.2308,-0.3583,2.571
0.6509,-0.5491,2.2361
0.9021,-0.6862,1.6749
1.0427,-0.7917,0.9554
1.0904,-0.9526,0.1877
1.0801,-1.1031,-0.462
1.0639,-1.2523,-0.9747
1.0608,-1.4026,-1.2675
1.0359,-1.5349,-1.3783
0.9915,-1.5831,-1.2933
0.9502,-1.5644,-1.0912
0.8931,-1.4701,-0.7644
0.8997,-1.3031,-0.5023
0.934,-1.1699,-0.22
0.9693,-0.992,0.0412
0.9943,-0.8707,0.1508
0.9767,-0.8275,0.1425
0.8841,-0.8389,0.0765
0.7696,-0.8427,-0.0757
0.5923,-0.8412,-0.3051
0.436,-0.8843,-0.5792
0.3127,-1.0071,-0.8859
0.2151,-1.1369,-1.2106
0.0901,-1.2349,-1.5144
-0.0127,-1.2933,-1.7407
-0.0918,-1.3003,-1.8888
-0.0825,-1.2446,-1.957
-0.014,-1.0981,-1.965
0.0755,-0.8732,-1.9066
0.217,-0.5917,-1.8029
0.3587,-0.3034,-1.6332
0.4824,-0.0722,-1.4184
0.5536,0.1549,-1.2741
0.5845,0.3539,-1.0634
0.7097,0.5435,-0.814
0.8914,0.712,-0.5093
1.1524,0.874,-0.2721
1.4059,1.0343,-0.1406
1.6868,1.1853,-0.1186
2.0896,1.2274,-0.186
2.487,1.2763,-0.3228
2.6993,1.3285,-0.5699
2.6116,1.4439,-0.9662
2.2399,1.6303,-1.4797
1.5999,1.7833,-2.0557
0.8922,1.9551,-2.4853
0.13,2.0656,-3.0456
-1.0444,2.4681,-3.4903
-2.3969,3.3492,-3.133
-3.0665,4.194,-2.066
-2.689,4.2488,-0.6704
-1.2523,3.3876,0.779
0.491,2.046,2.0212
1.8874,0.7199,3.2035
2.6664,-0.405,4.2228
2.8983,-1.2352,4.9325
2.5892,-1.869,5.2783
1.7665,-2.2062,5.2224
0.4556,-2.075,4.7436
-0.9119,-1.6176,3.8008
-1.968,-1.1452,2.5523
-2.5217,-0.8389,1.1683
-2.5327,-0.6557,-0.1253
-2.0184,-0.5784,-1.0829
-1.1182,-0.546,-1.6417
0.0295,-0.5952,-1.7319
1.0955,-0.6661,-1.3777
1.8332,-0.73,-0.7328
2.2236,-0.7803,0.0231
2.3468,-0.8055,0.8114
2.2422,-0.8135,1.5168
1.7799,-0.7918,2.0964
0.9596,-0.6812,2.5385
0.0697,-0.6603,2.6606
-0.7179,-0.6845,2.4888
-1.3485,-0.7114,2.0263
-1.8364,-0.7388,1.3956
-2.1378,-0.753,0.6538
-2.3115,-0.8027,-0.1008
-2.3531,-0.9037,-0.7132
-2.3107,-1.0365,-1.1685
-2.2392,-1.1892,-1.4527
-2.1888,-1.35,-1.5677
-2.2076,-1.4905,-1.5392
-2.2503,-1.5776,-1.3996
-2.2548,-1.6285,-1.1973
-2.2283,-1.5483,-0.9663
-2.0986,-1.4119,-0.7475
-1.9277,-1.1936,-0.5528
-1.6981,-0.9829,-0.4237
-1.4324,-0.8134,-0.3664
-1.1661,-0.6592,-0.3301
-0.9673,-0.5494,-0.3091
-0.7477,-0.546,-0.4064
-0.6268,-0.6493,-0.5739
-0.5658,-0.8183,-0.8098
-0.5952,-1.0001,-1.0624
-0.6308,-1.125,-1.3253
-0.6916,-1.1903,-1.5609
-0.7633,-1.1765,-1.7797
-0.8268,-1.0953,-1.937
-0.87,-0.8672,-2.056
-0.9479,-0.5965,-2.1007
-1.0127,-0.2919,-2.0571
-1.0075,0.0542,-1.8588
-0.894,0.4102,-1.5715
-0.7499,0.7275,-1.236
-0.5717,1.0311,-0.8662
-0.3834,1.1971,-0.4535
-0.3318,1.3576,-0.0438
-0.5002,1.5585,0.3318
-0.8966,1.8174,0.5241
-1.3529,2.0453,0.3987
-1.7037,2.2165,0.0051
-1.8827,2.3208,-0.6774
-1.9055,2.4117,-1.5723
-1.738,2.462,-2.4584
-1.2479,2.6179,-3.3327
-0.5053,2.9257,-3.9948
0.1526,3.0957,-3.9425
0.3683,2.9218,-2.9834
-0.2678,2.425,-1.4073
-1.5113,1.7664,0.3954
-2.6659,1.1538,2.2463
-3.3931,0.678,3.8742
-3.4931,0.1745,4.9859
-3.062,-0.3771,5.548
-2.1274,-0.8917,5.5462
-0.8203,-1.3141,5.1153
0.5538,-1.594,4.3581
1.6359,-1.7665,3.3518
2.352,-1.8712,2.2082
2.7618,-1.909,0.9894
2.8486,-1.8214,-0.1542
2.707,-1.6177,-1.0893
2.3051,-1.3449,-1.6833
1.7029,-1.0059,-1.8952
0.9085,-0.7385,-1.7039
-0.0657,-0.536,-1.0801
-0.9533,-0.4037,-0.1804
-1.5955,-0.3608,0.7152
-2.0185,-0.2971,1.4905
-2.1262,-0.1614,2.0491
-1.8728,-0.0047,2.2729
-1.3964,0.0969,2.1732
-0.7696,0.0778,1.7849
-0.1431,0.0336,1.1861
0.4414,-0.1055,0.4383
0.8579,-0.3353,-0.296
1.0707,-0.6717,-0.8495
1.1272,-1.0668,-1.1828
1.1536,-1.4754,-1.2928
1.1708,-1.7952,-1.2672
1.1262,-1.979,-1.1209
1.0288,-2.025,-0.9242
0.9246,-1.9046,-0.7769
0.8698,-1.7312,-0.5808
0.8702,-1.4621,-0.3896
0.8866,-1.1719,-0.2615
0.926,-0.9906,-0.1762
0.8787,-0.8849,-0.1879
0.8,-0.8671,-0.2053
0.7459,-0.8609,-0.3117
0.7197,-0.9095,-0.4708
0.7364,-0.9819,-0.6974
0.7922,-1.0538,-0.9781
0.7939,-1.0578,-1.2302
0.7963,-0.9361,-1.4521
0.7413,-0.741,-1.6442
0.6591,-0.5201,-1.8021
0.592,-0.2231,-1.8757
0.5343,0.0781,-1.8692
0.5133,0.2758,-1.7416
0.5124,0.4114,-1.5415
0.5821,0.388,-1.3086
0.6795,0.3029,-1.2473
0.7588,0.3069,-1.1639
0.9675,0.3514,-0.8601
1.266,0.4857,-0.4814
1.4591,0.7807,-0.2172
1.5216,1.2432,-0.0681
1.6538,1.6397,-0.0196
1.8956,1.7748,-0.0254
2.1291,1.6997,-0.1093
2.2172,1.5623,-0.39
2.0301,1.5187,-0.8716
1.6103,1.5901,-1.3867
1.0398,1.7374,-1.962
0.1052,2.126,-2.5207
-0.9968,2.9025,-2.4563
-1.7044,3.7798,-1.5574
-1.5653,4.0159,-0.1653
-0.5168,3.1728,1.3385
0.8931,1.691,2.6232
1.9378,0.1887,3.6676
2.4905,-0.9999,4.6355
2.5633,-1.8769,5.2061
2.2003,-2.5143,5.3468
1.3138,-2.7589,5.0859
-0.0264,-2.52,4.49
-1.415,-1.9799,3.5808
-2.4747,-1.3465,2.3026
-3.0408,-0.8249,0.8725
-3.0361,-0.4588,-0.4814
-2.6273,-0.1645,-1.4477
-1.8765,0.0535,-1.8817
-0.8954,0.1723,-1.774
0.1684,0.101,-1.231
1.0775,-0.0965,-0.4198
1.6602,-0.3158,0.5413
1.9244,-0.4856,1.4066
1.8751,-0.6469,2.1373
1.4682,-0.7291,2.5164
0.6969,-0.705,2.5192
-0.2354,-0.5895,2.1348
-1.0079,-0.4882,1.5347
-1.5913,-0.4608,0.8301
-1.9611,-0.472,0.1302
-2.1001,-0.5752,-0.5052
-2.0957,-0.7674,-0.9997
-1.9751,-1.0606,-1.2528
-1.7911,-1.4002,-1.3278
-1.6201,-1.6985,-1.2563
-1.5626,-1.9725,-1.1395
