ax (m/s^2),ay (m/s^2),az (m/s^2)
0.2214,-0.003,-0.2679
0.2549,-0.0723,-0.3336
0.0754,-0.1176,-0.3591
-0.0307,-0.1294,-0.3029
-0.191,-0.158,-0.1118
-0.1798,-0.196,-0.2347
-0.037,-0.1573,-0.2787
0.08,-0.1139,-0.2508
0.109,-0.1257,-0.2782
0.0999,-0.1445,-0.2795
0.0743,-0.1488,-0.2956
0.0657,-0.1508,-0.2543
0.0526,-0.1552,-0.2152
0.025,-0.1313,-0.1391
-0.0124,-0.0527,-0.0733
0.01,0.0111,-0.085
0.0299,0.0291,-0.1486
0.0092,0.0306,-0.2724
-0.0142,0.0036,-0.3903
-0.1052,-0.0372,-0.3923
-0.0072,-0.1208,-0.3713
0.0789,-0.1492,-0.3223
0.0765,-0.1631,-0.2878
0.0813,-0.165,-0.2656
0.086,-0.1501,-0.2433
0.0837,-0.121,-0.2207
0.1176,-0.1088,-0.1977
0.1084,-0.1015,-0.2031
0.0894,-0.1158,-0.2178
0.0797,-0.1253,-0.2203
0.0817,-0.1587,-0.2324
0.1125,-0.1561,-0.2667
0.1316,-0.1485,-0.2943
0.1318,-0.1312,-0.3177
0.1279,-0.1331,-0.3151
0.1217,-0.1086,-0.2932
0.142,-0.0986,-0.2616
0.148,-0.0814,-0.2562
0.1323,-0.0692,-0.236
0.1212,-0.0523,-0.2177
0.1337,-0.045,-0.2133
0.1413,-0.045,-0.2205
0.1801,-0.062,-0.2393
0.2168,-0.0622,-0.265
0.2323,-0.0673,-0.2955
0.2147,-0.0749,-0.2899
0.2068,-0.0729,-0.3106
0.187,-0.0806,-0.3096
0.1935,-0.0643,-0.3086
0.2072,-0.0959,-0.3148
0.2403,-0.0963,-0.3261
0.2544,-0.0966,-0.333
0.281,-0.104,-0.3428
0.2746,-0.1065,-0.3674
0.2518,-0.1234,-0.3515
0.2509,-0.1091,-0.3525
0.243,-0.0877,-0.3391
0.2378,-0.052,-0.3206
0.2641,-0.0165,-0.3161
0.2906,0.0093,-0.2822
0.308,0.0085,-0.2548
0.3304,-0.0165,-0.2363
0.3552,-0.0465,-0.2195
0.3703,-0.0791,-0.2476
0.4044,-0.1284,-0.2707
0.4334,-0.1657,-0.3109
0.467,-0.2314,-0.3805
0.5031,-0.2465,-0.48
0.5274,-0.2421,-0.5356
0.5304,-0.2562,-0.5765
0.5119,-0.2435,-0.5686
0.4696,-0.2256,-0.5168
0.4056,-0.1785,-0.4592
0.3463,-0.124,-0.3855
0.294,-0.0862,-0.3144
0.2485,-0.0557,-0.2452
0.2006,-0.0374,-0.2063
0.1838,-0.0338,-0.1974
0.1597,-0.052,-0.2235
0.1474,-0.0896,-0.2535
0.1735,-0.1368,-0.2832
0.2309,-0.1721,-0.3082
0.2885,-0.2097,-0.3648
0.3347,-0.223,-0.4153
0.355,-0.1976,-0.46
0.3493,-0.1838,-0.4607
0.3703,-0.1648,-0.4482
0.3725,-0.1217,-0.422
0.3775,-0.117,-0.3718
0.378,-0.1028,-0.3474
0.4123,-0.1224,-0.3056
0.4036,-0.1637,-0.3085
0.3948,-0.1812,-0.3157
0.3859,-0.1558,-0.3273
0.3577,-0.1161,-0.3599
0.3774,-0.0766,-0.3897
0.3708,-0.0419,-0.4168
0.3884,-0.0049,-0.47
0.3947,0.0201,-0.4896
0.4211,0.0306,-0.4997
0.408,0.022,-0.4883
0.3959,0.0204,-0.4649
0.3804,0.0116,-0.4509
0.3321,0.0027,-0.4392
0.3035,-0.0374,-0.4299
0.2761,-0.0774,-0.4112
0.2641,-0.1222,-0.371
0.2031,-0.1551,-0.319
0.1742,-0.1593,-0.2834
0.1055,-0.1517,-0.2809
0.0154,-0.1324,-0.2538
-0.0965,-0.1133,-0.2639
-0.1827,-0.0705,-0.2658
-0.2634,-0.0542,-0.2814
-0.2643,-0.0498,-0.3088
-0.2306,-0.026,-0.3559
-0.2076,-0.045,-0.3869
-0.19,-0.0806,-0.4088
-0.1995,-0.0943,-0.4626
-0.2336,-0.0695,-0.5216
-0.2586,0.0008,-0.5805
-0.2557,0.0636,-0.605
-0.1988,0.131,-0.6527
