ax (m/s^2),ay (m/s^2),az (m/s^2)
0.7447,-0.2104,0.5288
0.5623,-0.168,0.2992
0.4333,-0.1776,0.1251
0.328,-0.1678,0.0602
0.163,-0.1414,0.0296
-0.0449,-0.1417,0.0029
-0.2077,-0.1519,-0.0182
-0.3603,-0.1355,-0.0853
-0.4318,-0.1066,-0.1131
-0.4182,-0.1535,-0.0926
-0.2592,-0.3172,-0.0495
-0.0135,-0.5212,-0.0479
0.2146,-0.7155,-0.1016
0.4191,-0.8688,-0.1652
0.5751,-0.9813,-0.2294
0.6788,-1.0527,-0.3666
0.7134,-1.0541,-0.5272
0.6856,-1.0357,-0.6951
0.6618,-0.9755,-0.8159
0.6196,-0.8018,-0.8562
0.5461,-0.6174,-0.8111
0.5082,-0.456,-0.721
0.5224,-0.3535,-0.5973
0.5818,-0.2792,-0.4627
0.6315,-0.1978,-0.3274
0.725,-0.1506,-0.2115
0.782,-0.0735,-0.1783
0.8272,-0.0432,-0.2324
0.7703,-0.012,-0.3188
0.6536,0.0229,-0.4453
0.5077,-0.0315,-0.5939
0.3821,-0.0934,-0.7754
0.2904,-0.2079,-0.9308
0.2637,-0.3412,-1.0492
0.2855,-0.5219,-1.0969
0.3395,-0.6834,-1.1333
0.4114,-0.8066,-1.1265
0.458,-0.8801,-1.1353
0.4909,-0.8825,-1.1299
0.5311,-0.8404,-1.1672
0.603,-0.7298,-1.2405
0.7211,-0.5814,-1.298
0.8669,-0.4262,-1.3667
0.9714,-0.2784,-1.3895
1.0759,-0.1597,-1.3355
1.1402,-0.0699,-1.2837
1.1861,-0.0067,-1.2176
1.1945,0.0995,-1.1924
1.168,0.2726,-1.1721
1.1034,0.4263,-1.1446
1.0503,0.6113,-1.1295
0.9859,0.7753,-1.1208
0.8947,0.9114,-1.1095
0.8261,0.984,-1.0411
0.7652,1.0407,-0.9267
0.7022,1.052,-0.7715
0.5966,1.0789,-0.6152
0.4894,1.0964,-0.5096
0.3664,1.0751,-0.5295
0.2652,1.0656,-0.6784
0.1966,1.1075,-1.0072
0.1471,1.238,-1.3376
0.2478,1.4373,-1.6509
0.292,1.7217,-1.8903
0.5337,2.0685,-1.7577
0.8826,2.3538,-1.314
1.2615,2.5674,-0.6287
1.6426,2.6332,0.3279
2.0462,2.4095,1.4612
2.3764,1.9049,2.598
2.5061,1.1812,3.4859
2.3487,0.3282,3.9358
1.8321,-0.5273,3.7649
1.037,-1.1163,3.255
0.1332,-1.5567,2.5957
-0.663,-1.8655,1.9015
-1.4296,-1.9929,1.1958
-2.0218,-1.8911,0.4972
-2.3446,-1.6684,-0.1327
-2.3848,-1.3212,-0.5346
-2.0239,-0.9521,-0.6713
-1.3329,-0.5875,-0.6142
-0.4312,-0.2857,-0.3749
0.4199,-0.0484,-0.0063
1.0433,0.0702,0.4273
1.4231,0.0321,0.9933
1.5735,-0.1523,1.5841
1.5503,-0.4485,2.1071
1.3317,-0.7254,2.4273
0.9497,-0.8198,2.4361
0.5187,-0.7259,2.1639
0.0802,-0.4803,1.6685
-0.3613,-0.2635,1.1089
-0.6811,-0.1486,0.5776
-0.8335,-0.2425,0.1296
-0.9108,-0.4707,-0.169
-0.923,-0.7952,-0.294
-0.9634,-1.1612,-0.3059
-0.9695,-1.543,-0.2588
-1.0126,-1.8425,-0.2618
-1.0826,-2.0598,-0.2984
-1.1937,-2.0511,-0.3767
-1.3485,-1.871,-0.4836
-1.5745,-1.5218,-0.5861
-1.7001,-1.1615,-0.6195
-1.69,-0.8406,-0.5711
-1.5391,-0.5498,-0.4372
-1.2181,-0.3854,-0.3045
-0.9111,-0.2811,-0.2019
-0.6284,-0.2398,-0.0818
-0.4111,-0.1469,-0.0389
-0.1391,-0.1437,-0.0875
0.0475,-0.1677,-0.2242
0.1592,-0.2182,-0.4437
0.1269,-0.2781,-0.6879
-0.0335,-0.3327,-0.8811
-0.2101,-0.4275,-0.9658
-0.3167,-0.5507,-1.0178
-0.4085,-0.638,-1.0291
-0.4922,-0.7445,-1.0496
-0.5894,-0.8274,-1.0906
-0.7026,-0.853,-1.1426
-0.7888,-0.8882,-1.247
-0.8526,-0.9087,-1.3691
-0.8965,-0.8638,-1.515
-0.8681,-0.7461,-1.5949
-0.798,-0.6224,-1.6789
-0.7312,-0.4611,-1.7488
-0.6812,-0.2938,-1.67
-0.5451,-0.1088,-1.4789
-0.3608,0.0311,-1.2694
-0.235,0.154,-1.0976
-0.1165,0.2957,-0.9387
-0.2137,0.4871,-0.8114
-0.333,0.632,-0.7074
-0.4414,0.7755,-0.6468
-0.4824,0.8934,-0.6501
-0.5182,1.05,-0.8027
-0.5122,1.2141,-1.0298
-0.4947,1.3807,-1.3457
-0.5349,1.5429,-1.6865
-0.577,1.6082,-2.0813
-0.7262,1.616,-2.4499
-0.9016,1.608,-2.6763
-1.0508,1.6047,-2.7453
-1.0955,1.6503,-2.5482
-0.9334,1.7598,-2.1545
-0.7583,1.9333,-1.601
-0.642,2.1665,-0.8838
-0.5372,2.4689,0.0272
-0.4469,2.8554,1.1476
-0.4001,3.0881,2.3192
-0.4528,2.9087,3.4431
-0.5835,2.2255,4.2629
-0.6517,1.237,4.4611
-0.6988,0.2025,4.3675
-0.6232,-0.7112,4.0427
-0.4529,-1.5047,3.3155
-0.1395,-2.1513,2.3429
0.4235,-2.6746,1.2864
1.0172,-3.0221,0.2409
1.5906,-3.0747,-0.5167
2.0794,-2.8654,-1.0086
2.36,-2.4011,-1.2115
2.2218,-1.7422,-1.2125
1.6199,-0.9831,-0.9985
0.824,-0.341,-0.5033
0.18,0.055,0.1535
-0.3412,0.246,0.7963
-0.8579,0.3168,1.3792
-1.3627,0.3835,1.8388
-1.6333,0.3307,2.155
-1.6255,0.1613,2.1804
-1.2702,-0.1068,1.981
-0.5838,-0.4074,1.5307
0.26,-0.6238,0.9397
1.1176,-0.743,0.3383
1.8234,-0.8048,-0.1684
2.3288,-0.857,-0.5285
2.7048,-0.9619,-0.7331
2.7836,-1.0815,-0.7505
2.7054,-1.2017,-0.6548
2.468,-1.27,-0.4886
2.0872,-1.251,-0.2529
1.6668,-1.1452,-0.0273
1.3806,-1.0754,0.1953
1.1155,-0.9583,0.3619
0.8776,-0.828,0.4814
0.6804,-0.7185,0.5173
0.5688,-0.6539,0.4915
0.5158,-0.629,0.3093
0.4566,-0.6741,0.0429
0.3934,-0.7171,-0.247
0.3308,-0.7861,-0.5307
0.3075,-0.8594,-0.7348
0.3361,-0.9943,-0.8743
0.3429,-1.1309,-0.9685
0.2936,-1.2238,-0.9835
0.2138,-1.278,-1.0048
0.1916,-1.308,-1.0409
0.1841,-1.2973,-1.0748
0.1653,-1.2342,-1.1053
0.181,-1.1167,-1.1462
0.2171,-0.9306,-1.1989
0.2831,-0.7192,-1.2559
0.3689,-0.5014,-1.3105
0.4928,-0.3124,-1.3717
0.6062,-0.1636,-1.4251
0.7421,-0.0444,-1.4705
0.8595,0.0357,-1.4538
0.9516,0.1606,-1.3244
1.0327,0.3396,-1.1055
0.9921,0.5577,-0.8146
0.9585,0.8505,-0.5218
0.958,1.1238,-0.2827
1.0236,1.4368,-0.179
1.0759,1.6617,-0.2134
1.049,1.841,-0.4399
0.8772,2.0879,-0.7257
