ax (m/s^2),ay (m/s^2),az (m/s^2)
-0.9063,-0.2845,-0.0899
-0.7972,-0.3643,-0.1632
-0.6693,-0.4063,-0.3047
-0.5773,-0.386,-0.5159
-0.4751,-0.3698,-0.7433
-0.3643,-0.3791,-0.9473
-0.3529,-0.3705,-1.0781
-0.3574,-0.368,-1.1453
-0.3682,-0.3621,-1.1364
-0.3541,-0.3629,-1.0981
-0.3844,-0.366,-1.0436
-0.4166,-0.3813,-0.9596
-0.4514,-0.4237,-0.912
-0.4223,-0.4886,-0.8975
-0.346,-0.5738,-0.9566
-0.2216,-0.7197,-1.056
-0.1172,-0.8544,-1.1748
-0.0645,-0.9751,-1.345
-0.1388,-1.0263,-1.539
-0.3108,-0.9838,-1.7197
-0.6098,-0.8543,-1.8523
-0.8937,-0.6784,-1.9421
-1.1503,-0.4631,-1.9588
-1.3189,-0.2248,-1.9799
-1.4105,-0.009,-1.9553
-1.3794,0.1389,-1.8875
-1.2295,0.2594,-1.7709
-1.0217,0.4119,-1.5966
-0.7924,0.5835,-1.4031
-0.5806,0.7664,-1.2382
-0.4081,0.9672,-1.1076
-0.2978,1.1376,-1.0631
-0.261,1.287,-1.0588
-0.3058,1.4177,-1.1396
-0.3521,1.4743,-1.2425
-0.4272,1.4736,-1.4515
-0.4932,1.4047,-1.7454
-0.5661,1.3149,-2.0818
-0.6016,1.3286,-2.3576
-0.5428,1.5796,-2.5408
-0.4355,2.112,-2.4788
-0.3421,2.7477,-2.0677
-0.3841,3.1569,-1.3104
-0.6058,3.0454,-0.2963
-1.0809,2.4931,0.8355
-1.6026,1.7661,2.0207
-1.8991,1.0749,3.0791
-1.8662,0.4434,3.6831
-1.5532,-0.1672,3.7785
-1.0419,-0.8203,3.453
-0.461,-1.4895,2.7979
0.0631,-2.0902,1.9631
0.4891,-2.4932,1.0854
0.8914,-2.6537,0.3326
1.233,-2.4701,-0.2694
1.3936,-2.0111,-0.737
1.3342,-1.3359,-1.0574
1.0455,-0.586,-1.1794
0.4819,0.1083,-1.009
-0.1725,0.6256,-0.5745
-0.7973,0.8992,0.0724
-1.2824,0.9819,0.837
-1.5336,0.8002,1.5128
-1.4638,0.4533,2.0651
-1.1572,0.1031,2.3833
-0.6773,-0.1758,2.4265
-0.1147,-0.3107,2.1661
0.44,-0.3905,1.6526
0.8669,-0.4492,0.9878
1.1504,-0.5565,0.2742
1.2894,-0.7588,-0.4165
1.3568,-0.9758,-1.0115
1.3532,-1.1809,-1.4068
1.2861,-1.2927,-1.5688
1.2412,-1.3361,-1.5046
1.1705,-1.3192,-1.1989
1.1336,-1.2003,-0.7939
1.1302,-1.0478,-0.3841
1.1533,-0.822,-0.0096
1.1767,-0.5883,0.2498
1.1553,-0.3541,0.3829
1.0625,-0.1485,0.4237
0.8638,0.0072,0.3648
0.6422,0.0914,0.2416
0.4927,0.0473,0.0648
0.4371,-0.0719,-0.1382
0.4328,-0.2923,-0.3781
0.5003,-0.5535,-0.6083
0.5407,-0.7717,-0.8413
0.5405,-0.9872,-1.076
0.4665,-1.1638,-1.2552
0.3491,-1.28,-1.4055
0.2429,-1.3308,-1.5298
0.1876,-1.3327,-1.6091
0.1292,-1.3026,-1.6621
0.1219,-1.2168,-1.6498
0.1219,-1.0805,-1.6019
0.1361,-0.8802,-1.514
0.2031,-0.6404,-1.3986
0.3144,-0.4074,-1.3045
0.4204,-0.1192,-1.2023
0.4489,0.1743,-1.1428
0.4366,0.39,-1.1016
0.3848,0.5386,-1.0937
0.3445,0.6211,-1.1619
0.3476,0.6835,-1.1955
0.4719,0.6976,-1.1259
0.7317,0.7233,-0.9989
1.0171,0.8057,-0.9024
1.243,0.9705,-0.7916
1.4728,1.1539,-0.6908
1.6781,1.2946,-0.6518
1.7591,1.4179,-0.7583
1.7019,1.5597,-0.9577
1.4767,1.7695,-1.1605
1.1469,1.9665,-1.4321
0.6578,2.3285,-1.8187
0.0188,3.0531,-1.9496
-0.4591,3.8303,-1.5457
-0.5913,4.1172,-0.7835
-0.1706,3.6373,0.183
0.8431,2.5499,1.1645
1.8202,1.2413,1.9436
2.3027,0.1086,2.5395
2.32,-0.7477,3.0433
1.9021,-1.3023,3.2989
1.0838,-1.6385,3.1238
-0.0036,-1.7047,2.5148
-1.069,-1.6375,1.8025
-1.8883,-1.5353,1.1405
-2.371,-1.4779,0.599
-2.5556,-1.3581,0.1954
-2.4663,-1.2247,-0.1412
-2.1548,-0.9405,-0.2284
-1.448,-0.6373,-0.236
-0.5931,-0.3664,-0.0854
0.1762,-0.201,0.2012
0.7998,-0.0853,0.4941
1.2589,-0.0308,0.8526
1.6357,-0.034,1.1794
1.8742,-0.1225,1.4053
1.9255,-0.2635,1.4955
1.7391,-0.3539,1.4573
1.2353,-0.3114,1.2503
0.475,-0.2015,0.9002
-0.3355,-0.0798,0.4962
-1.0541,-0.0571,0.0774
-1.5449,-0.1803,-0.2753
-1.8404,-0.4657,-0.5012
-1.917,-0.8178,-0.6122
-1.8247,-1.1339,-0.6238
-1.6637,-1.3836,-0.5947
-1.4814,-1.541,-0.5355
-1.2846,-1.5896,-0.4452
-1.1358,-1.5777,-0.3518
-0.9992,-1.508,-0.3261
-0.9349,-1.364,-0.3221
-0.9434,-1.1818,-0.3556
-1.0084,-1.0023,-0.417
-1.0441,-0.8687,-0.487
-1.0625,-0.7974,-0.5612
-1.0899,-0.7719,-0.6376
-1.0496,-0.763,-0.75
-1.037,-0.8067,-0.8487
-0.9778,-0.8621,-0.9149
-0.9386,-0.9219,-0.9753
-0.8923,-0.9787,-1.0278
-0.8577,-1.059,-1.0746
-0.796,-1.1318,-1.1345
-0.7045,-1.2549,-1.2256
-0.6236,-1.3183,-1.3494
-0.5261,-1.3725,-1.5103
-0.4162,-1.3863,-1.6584
-0.404,-1.2754,-1.8093
-0.4171,-1.0464,-1.9289
-0.4701,-0.773,-2.0024
-0.534,-0.4427,-1.9756
-0.6327,-0.12,-1.9164
-0.7956,0.1784,-1.791
-1.0064,0.4305,-1.5672
-1.1485,0.6548,-1.2212
-1.1715,0.872,-0.8271
-1.0766,1.1049,-0.4727
-0.8789,1.3545,-0.1833
-0.6899,1.5985,0.0149
-0.6128,1.7735,0.0357
-0.586,1.8603,-0.1298
-0.4816,1.8661,-0.4769
-0.2928,1.8468,-0.9768
-0.0471,1.7825,-1.6883
0.1353,1.7214,-2.3827
0.2941,1.7154,-2.9545
0.4311,1.9999,-3.3153
