ax (m/s^2),ay (m/s^2),az (m/s^2)
-0.0163,-0.4091,-0.5291
0.0306,-0.5376,-0.5125
0.0391,-0.678,-0.4639
-0.0108,-0.7544,-0.3341
-0.0525,-0.7604,-0.1619
-0.1033,-0.7016,0.0305
-0.1392,-0.6173,0.1922
-0.0596,-0.5157,0.3514
0.1702,-0.455,0.4042
0.4021,-0.4739,0.3534
0.6195,-0.5097,0.208
0.8615,-0.6842,-0.0069
1.1484,-1.0036,-0.2835
1.355,-1.4334,-0.5791
1.413,-1.8718,-0.8555
1.4361,-2.2872,-1.0759
1.3032,-2.5552,-1.1933
1.1155,-2.6925,-1.2317
0.7609,-2.6943,-1.2418
0.339,-2.5225,-1.1776
-0.1025,-2.2918,-1.0649
-0.5109,-2.0022,-0.9745
-0.8074,-1.7093,-0.8474
-1.0012,-1.4012,-0.711
-1.0538,-1.146,-0.5122
-0.8796,-0.9663,-0.2874
-0.4913,-0.8391,-0.1742
0.0466,-0.8057,-0.1437
0.5362,-0.8592,-0.1774
0.9901,-0.9232,-0.3027
1.2861,-0.9713,-0.492
1.3867,-0.9625,-0.667
1.3487,-0.9345,-0.8118
1.1592,-0.8102,-0.9751
0.898,-0.6509,-1.1457
0.6476,-0.4224,-1.2504
0.4567,-0.198,-1.2826
0.3361,0.0106,-1.1998
0.29,0.2156,-1.0881
0.2898,0.381,-0.9426
0.2907,0.6019,-0.7911
0.2953,0.7751,-0.6716
0.2723,0.925,-0.501
0.2569,0.9329,-0.2282
0.2527,0.903,0.1042
0.3474,0.8216,0.4496
0.487,0.813,0.7896
0.613,1.0696,0.996
0.6706,1.5322,1.0651
0.6518,1.9747,1.0027
0.5353,2.227,0.9085
0.3679,2.2587,0.7929
0.33,1.9987,0.7093
0.4271,1.4827,0.7176
0.5841,0.9515,0.8082
0.7637,0.5616,0.9436
0.977,0.3003,0.9838
1.1783,0.1205,0.9375
1.2054,0.0095,0.7296
1.083,-0.0647,0.4022
0.8898,-0.1149,0.1585
0.6881,-0.152,-0.0126
0.5561,-0.2093,0.0248
0.4577,-0.2748,0.2305
0.3673,-0.4152,0.4991
0.1984,-0.4685,0.8003
-0.0126,-0.5286,1.1388
-0.2417,-0.5808,1.4654
-0.5033,-0.627,1.7594
-0.6956,-0.6612,1.9707
-0.8554,-0.7079,2.0044
-0.94,-0.7428,1.9007
-1.0096,-0.7768,1.6698
-1.0904,-0.8311,1.404
-1.1997,-0.8781,1.1634
-1.2159,-0.901,0.8947
-1.1969,-0.9011,0.6224
-1.0449,-0.8585,0.381
-0.8507,-0.7775,0.184
-0.6154,-0.6411,0.0305
-0.4066,-0.5264,-0.0454
-0.2862,-0.3799,0.0045
-0.2188,-0.2346,0.186
-0.1895,-0.1075,0.3402
-0.1394,0.0221,0.4371
-0.0554,0.1486,0.5419
0.0395,0.2391,0.6009
0.0796,0.2703,0.5935
0.0558,0.2118,0.5139
-0.0271,0.1624,0.3753
-0.1593,0.1079,0.2013
-0.356,0.0632,0.0271
-0.5407,0.0118,-0.1309
-0.6763,-0.0087,-0.2672
-0.8208,0.0058,-0.319
