ax (m/s^2),ay (m/s^2),az (m/s^2)
-0.0012,-0.0112,-0.6625
-0.0504,-0.0821,-0.6084
0.0006,-0.1478,-0.3358
-0.1449,-0.3418,-0.3349
-0.1538,-0.4577,-0.5167
-0.1001,-0.5124,-0.3634
-0.094,-0.5234,-0.1739
-0.1667,-0.4674,-0.0366
-0.1194,-0.3861,0.2098
-0.081,-0.2632,0.4359
-0.112,-0.1011,0.3394
-0.1403,0.0653,-0.0088
-0.1376,0.1933,-0.3451
-0.1519,0.3,-0.3635
-0.2432,0.2513,-0.4192
-0.2193,0.1817,-0.5485
-0.1948,0.2225,-0.3628
-0.227,0.2321,-0.1934
-0.1735,0.2107,-0.2728
-0.101,0.2062,-0.3497
-0.1419,0.2279,-0.2054
-0.1654,0.2803,-0.0976
-0.0872,0.32,-0.1089
0.0405,0.2512,-0.0791
0.0708,0.1342,-0.1122
-0.125,0.06,-0.2043
-0.289,0.0046,-0.1353
0.0257,0.0044,-0.2104
0.1938,-0.1151,-0.3269
0.1701,-0.1913,-0.4938
0.0835,-0.1552,-0.5902
-0.0536,-0.0191,-0.5333
-0.2764,0.1827,-0.3119
-0.4234,0.2777,-0.1604
-0.424,0.295,-0.0898
-0.2653,0.3236,-0.0949
0.0056,0.2855,-0.2543
0.2672,0.0856,-0.5213
0.4358,-0.1367,-0.9815
0.4036,-0.2085,-1.4142
0.1876,-0.1369,-1.5421
-0.057,-0.0376,-1.3807
-0.2391,0.0388,-1.2444
-0.1427,0.104,-1.0172
-0.0405,0.0526,-0.8467
0.01,-0.001,-0.6192
-0.0254,0.0146,-0.2801
-0.1893,0.0674,0.0529
-0.351,0.1304,0.3434
-0.4669,0.0814,0.4175
-0.5536,-0.0245,0.3754
-0.5607,-0.1245,0.0855
-0.4379,-0.2606,-0.2375
-0.3079,-0.3535,-0.4041
-0.202,-0.4725,-0.4072
-0.0372,-0.6011,-0.3413
0.1904,-0.756,-0.3616
0.2973,-0.8962,-0.5046
0.3531,-1.0118,-0.692
0.2417,-1.0024,-0.8457
0.0877,-0.8869,-0.95
-0.0434,-0.8045,-1.0817
-0.0729,-0.7694,-1.1645
-0.1444,-0.7484,-1.2574
-0.2597,-0.7822,-1.3623
-0.2907,-0.8035,-1.472
-0.3352,-0.7404,-1.4626
-0.384,-0.5763,-1.3313
-0.3741,-0.4523,-1.2119
-0.3577,-0.2947,-1.0639
-0.3372,-0.0685,-0.712
-0.464,0.221,-0.5041
-0.7086,0.363,-0.5172
-0.8125,0.3701,-0.7077
-0.8305,0.3004,-0.956
-0.8193,0.2665,-0.9194
-0.8045,0.2059,-0.7215
-0.8312,0.1567,-0.5455
-0.7787,0.1071,-0.4512
-0.689,0.0331,-0.3957
-0.566,-0.0358,-0.2777
-0.445,-0.0301,-0.1219
-0.3899,0.0023,0.0198
-0.4938,0.2115,-0.0276
-0.5769,0.4845,-0.3342
-0.7451,0.8332,-0.7418
-0.9042,1.1382,-1.0512
-0.9539,1.3528,-1.2166
-0.9417,1.3704,-1.1729
-0.5827,1.1867,-1.064
-0.7776,0.6747,-0.8599
-0.7845,0.1835,-0.6661
-0.3953,-0.2396,-0.5302
0.0103,-0.3126,-0.4566
0.0342,0.0551,-0.4533
-0.126,0.8322,-0.4735
-0.2038,1.7276,-0.5019
-0.4989,2.4134,-0.3356
-0.7359,2.9053,0.2026
-0.7205,3.0442,0.7527
-0.4813,2.8983,1.1921
-0.3104,2.7378,1.4076
-0.2514,2.5368,1.2665
-0.3134,2.3971,1.002
-0.3671,2.2935,0.7058
-0.4901,2.1694,0.5646
-0.5613,2.0344,0.6261
-0.6421,1.7468,0.8313
-0.3914,1.5336,1.0381
-0.298,1.1836,1.2244
-0.0738,0.7804,1.2881
0.205,0.252,1.2726
0.4165,-0.2314,1.1871
0.571,-0.6218,1.0356
0.7006,-0.8755,0.8194
0.7987,-1.0902,0.5967
0.9241,-1.1483,0.3403
1.0374,-1.081,0.1418
0.9604,-0.8942,0.2002
0.7432,-0.5575,0.4414
0.561,-0.3203,0.6243
0.3214,-0.2542,0.6859
0.1146,-0.2871,0.6204
0.044,-0.4759,0.4171
0.0517,-0.6911,0.2138
0.0012,-0.8248,0.0221
0.0389,-0.8771,-0.1074
0.223,-0.9175,-0.2101
0.4109,-0.8768,-0.2207
0.5183,-0.7769,-0.107
0.5759,-0.6823,-0.0175
0.6479,-0.5545,0.0996
0.6898,-0.5077,0.0699
0.7227,-0.5629,-0.0483
0.686,-0.7079,-0.2298
0.5565,-0.8398,-0.3524
0.4353,-0.8248,-0.42
0.2104,-0.7976,-0.4618
0.0179,-0.7779,-0.4449
-0.1463,-0.8472,-0.4741
-0.2061,-0.9094,-0.6341
-0.219,-0.981,-0.6576
-0.1269,-1.0542,-0.661
0.0352,-1.1193,-0.5587
0.2748,-1.1623,-0.3884
0.6815,-1.2387,-0.2068
0.9744,-1.1837,-0.0654
0.9625,-0.835,0.0827
0.6352,-0.4394,0.1357
0.4831,-0.1715,0.0365
0.4486,-0.1672,-0.133
0.5936,-0.3998,-0.3171
0.8032,-0.6583,-0.3877
0.8711,-0.8615,-0.3953
0.7208,-1.0144,-0.2937
0.6095,-1.1555,-0.1372
0.4157,-1.0718,-0.004
0.2622,-0.9571,-0.0474
0.0089,-0.7728,-0.153
0.2304,-0.7412,-0.2957
0.2234,-0.577,-0.5248
0.083,-0.3473,-0.5741
0.2578,-0.3638,-0.4614
0.4549,-0.4524,-0.4199
0.4599,-0.5775,-0.4077
0.6164,-0.8093,-0.3565
0.6023,-0.9491,-0.3688
0.6122,-1.0952,-0.4619
0.6079,-1.2829,-0.6157
0.5511,-1.3059,-0.8029
0.4917,-1.2718,-0.9474
0.3709,-1.2977,-1.0441
0.209,-1.2497,-1.1073
0.1104,-1.1635,-1.1151
0.1034,-1.1182,-1.1318
0.1233,-1.0347,-1.1985
0.139,-0.8817,-1.2822
0.1817,-0.6689,-1.2632
0.2249,-0.468,-1.1747
0.2566,-0.3461,-1.0599
0.3081,-0.2459,-0.9588
0.2622,-0.1723,-0.9478
0.1884,-0.1252,-1.0322
0.1227,-0.0205,-1.184
0.1703,0.1614,-1.3259
0.2306,0.3849,-1.3848
0.2527,0.6217,-1.235
0.3612,0.8072,-0.8551
0.5589,0.9603,-0.3978
0.8394,1.0711,0.0637
1.051,1.3186,0.5557
1.154,1.7238,0.9079
1.0748,2.1928,1.0008
0.7972,2.6294,0.8543
0.4694,2.8855,0.564
0.1285,2.8559,0.2459
-0.0871,2.6486,-0.0054
-0.2357,2.2738,-0.1947
-0.2826,1.7849,-0.2578
-0.1185,1.1873,-0.1585
0.1861,0.7301,0.0662
0.4841,0.5256,0.2881
0.6384,0.6328,0.5939
0.6584,0.9482,0.8811
0.6377,1.2271,1.0364
0.6009,1.3833,1.017
0.4792,1.3671,0.8956
0.3906,1.2365,0.7201
0.3076,1.0018,0.6227
0.3239,0.6077,0.6992
0.3543,0.1212,0.8476
0.4589,-0.4032,0.9588
0.5712,-0.8915,1.0238
0.6197,-1.2458,1.0387
0.5865,-1.4353,1.0281
0.5155,-1.5032,1.0526
0.3288,-1.3087,1.1806
0.0631,-1.029,1.1751
-0.1325,-0.8409,1.0592
-0.2422,-0.7056,0.8197
-0.3697,-0.6063,0.6115
-0.4441,-0.5117,0.511
-0.4969,-0.4723,0.5187
-0.5058,-0.548,0.5658
-0.4115,-0.7585,0.6628
-0.3419,-0.9985,0.7122
-0.3227,-1.0934,0.7647
-0.3925,-1.0791,0.7845
-0.4112,-0.9888,0.7416
-0.5073,-0.8461,0.6925
-0.5484,-0.7103,0.6308
-0.6311,-0.567,0.5799
-0.6063,-0.4781,0.5176
-0.5839,-0.5276,0.4009
-0.4931,-0.4332,0.2927
-0.3596,-0.4273,0.285
-0.3485,-0.46,0.3265
-0.2479,-0.4742,0.3579
-0.264,-0.5344,0.3169
-0.2864,-0.4824,0.2773
-0.2939,-0.4618,0.1786
-0.3255,-0.5464,0.053
-0.3692,-0.5491,-0.0666
-0.4832,-0.4868,-0.0825
-0.5629,-0.5172,-0.0911
-0.5101,-0.6016,-0.1439
-0.3712,-0.6898,-0.1642
-0.2529,-0.7247,-0.1388
-0.1718,-0.7117,-0.0993
-0.1904,-0.6747,-0.0836
-0.1066,-0.5258,-0.03
-0.2483,-0.3851,0.2119
-0.1689,-0.3531,0.2105
-0.1598,-0.3554,0.1783
-0.0869,-0.2626,0.2059
-0.0969,-0.316,0.1648
-0.1329,-0.429,0.0536
-0.0363,-0.5917,-0.0545
0.05,-0.7945,-0.1525
0.1435,-0.9274,-0.1537
0.1964,-1.0579,-0.1115
-0.0385,-1.0981,-0.0188
-0.148,-1.0937,0.1254
-0.2215,-1.1068,0.1676
-0.2982,-1.0154,0.1407
-0.3572,-1.0245,-0.1015
-0.2858,-1.083,-0.4376
-0.2207,-1.0924,-0.6514
-0.1478,-1.0431,-0.6997
-0.0401,-0.9426,-0.6057
0.0401,-0.8462,-0.4832
0.0781,-0.6993,-0.3306
0.1239,-0.6004,-0.1899
0.159,-0.6454,-0.1346
0.1954,-0.7025,-0.1746
0.1421,-0.6185,-0.2527
-0.061,-0.5128,-0.2977
-0.3038,-0.4333,-0.3631
-0.5243,-0.4059,-0.4904
-0.6739,-0.4115,-0.6059
-0.7956,-0.3734,-0.6829
-0.7719,-0.3397,-0.6751
-0.7488,-0.2987,-0.6632
-0.7503,-0.2242,-0.5889
-0.7381,-0.2145,-0.567
-0.7198,-0.1378,-0.5209
-0.5999,-0.0327,-0.4383
-0.5317,0.0099,-0.3452
-0.46,-0.0244,-0.3378
-0.4256,-0.1067,-0.3729
-0.4188,-0.1581,-0.4175
-0.3745,-0.2982,-0.519
-0.3837,-0.4098,-0.6007
-0.3404,-0.5024,-0.6625
-0.3114,-0.5402,-0.6923
-0.3854,-0.5831,-0.7235
-0.3736,-0.6189,-0.7903
-0.3889,-0.6834,-0.9003
-0.3659,-0.7166,-0.9941
-0.2751,-0.7113,-1.0958
-0.3351,-0.7008,-1.1386
-0.3692,-0.5346,-1.1534
-0.4137,-0.3657,-1.167
-0.5387,-0.2179,-1.175
-0.5374,0.0167,-1.0989
-0.5852,0.2568,-0.9201
-0.6759,0.3445,-0.5932
-0.5999,0.4401,-0.2977
-0.5311,0.565,-0.0636
-0.5057,0.7688,0.1425
-0.4286,1.0528,0.2113
-0.1675,1.3088,0.1237
-0.0257,1.4818,-0.1663
-0.0612,1.6107,-0.5147
-0.1207,1.5885,-0.6417
-0.1543,1.3487,-0.5397
-0.1804,1.0206,-0.2306
-0.2805,0.4861,0.2113
-0.2473,-0.0324,0.4381
-0.1401,-0.4817,0.3068
-0.0501,-0.6741,-0.0372
-0.088,-0.5393,-0.2978
-0.3298,-0.2014,-0.3925
-0.4047,0.385,-0.4142
-0.6128,1.0086,-0.2824
-0.8791,1.7116,-0.0038
-0.9536,2.3114,0.2802
-0.9396,2.7021,0.4893
-0.8759,2.8813,0.701
-0.7076,2.8633,0.8606
-0.572,2.7508,0.9422
-0.5377,2.5537,0.974
-0.4602,2.346,0.9444
-0.3581,2.1589,0.8391
-0.3705,1.9733,0.7991
-0.4334,1.751,0.7737
-0.4666,1.387,0.7358
-0.3298,1.0226,0.704
-0.1828,0.732,0.7095
-0.1387,0.3286,0.7786
-0.0735,-0.1349,0.7504
0.1406,-0.6102,0.7005
0.3126,-1.0685,0.6618
0.4524,-1.3805,0.6801
0.6608,-1.5321,0.7054
0.7703,-1.5495,0.709
0.8134,-1.4973,0.7147
0.8927,-1.4498,0.7226
0.951,-1.4142,0.6489
1.003,-1.3235,0.575
1.0489,-1.1633,0.5874
0.8987,-0.9459,0.6626
0.7072,-0.719,0.7121
0.4907,-0.607,0.5751
0.2748,-0.6025,0.3991
0.0205,-0.6358,0.1359
-0.1021,-0.6472,-0.1402
-0.1737,-0.5914,-0.3303
-0.246,-0.545,-0.4513
-0.328,-0.5248,-0.4791
-0.4167,-0.4495,-0.4326
-0.4636,-0.348,-0.369
-0.4383,-0.2657,-0.2665
-0.3535,-0.2074,-0.1827
-0.2526,-0.1825,-0.1085
-0.2195,-0.2605,-0.0942
-0.2089,-0.3934,-0.1182
-0.0069,-0.6074,-0.2266
0.1789,-0.7445,-0.3238
0.3662,-0.7285,-0.2775
0.4972,-0.6718,-0.1494
0.6591,-0.6297,-0.0401
0.8488,-0.6526,0.0434
0.8515,-0.7215,0.0581
0.6445,-0.7909,0.0665
0.3956,-0.8558,-0.0175
0.1583,-0.8873,-0.1199
0.0074,-0.8614,-0.1807
0.0262,-0.8667,-0.2333
0.0353,-0.9102,-0.2469
0.0978,-0.9751,-0.2748
0.2449,-1.1091,-0.3422
0.2789,-1.2044,-0.4357
0.2136,-1.1938,-0.431
0.1625,-1.0561,-0.3529
0.1462,-0.9349,-0.3207
0.1231,-0.8804,-0.327
0.1075,-0.7897,-0.2884
0.2252,-0.8422,-0.3181
0.385,-1.0115,-0.4196
0.4756,-1.1372,-0.457
0.4566,-1.1333,-0.4487
0.3989,-1.0217,-0.3837
0.3015,-0.8554,-0.3103
0.238,-0.7399,-0.3428
0.1595,-0.5984,-0.4167
0.1423,-0.4929,-0.4345
0.1509,-0.4402,-0.4975
0.1763,-0.4375,-0.6093
0.1521,-0.4393,-0.691
0.194,-0.4554,-0.6876
0.1109,-0.4763,-0.6706
0.157,-0.502,-0.645
0.2423,-0.578,-0.7236
0.2806,-0.6349,-0.8203
0.2469,-0.5746,-0.8431
0.2269,-0.4622,-0.7978
0.3376,-0.3933,-0.7387
0.4809,-0.3801,-0.7791
0.5805,-0.3622,-0.8288
0.6942,-0.3373,-0.9028
0.6753,-0.279,-0.9675
0.6191,-0.1921,-1.0101
0.5777,-0.1366,-1.0566
0.5441,-0.0909,-1.0807
0.4083,-0.0647,-1.1421
0.225,0.0332,-1.2122
0.0949,0.1334,-1.3494
0.0418,0.2434,-1.5138
-0.0136,0.3806,-1.5641
0.0145,0.4999,-1.2959
0.1478,0.5683,-0.8189
0.2976,0.603,-0.3195
0.4732,0.8362,0.014
0.6082,1.3393,0.2031
0.6958,1.9611,0.2785
0.7478,2.5216,0.345
0.69,2.939,0.5244
0.5023,3.1262,0.7945
0.3547,3.0085,1.0425
0.3212,2.6034,1.2599
0.3668,2.0968,1.399
0.301,1.7902,1.4331
0.1397,1.5842,1.3756
-0.0908,1.5928,1.1572
-0.2109,1.6811,0.8838
-0.3266,1.8474,0.6896
-0.3588,1.9481,0.5678
-0.4027,1.8441,0.46
-0.3581,1.4895,0.4347
-0.325,0.9939,0.409
-0.3509,0.4338,0.4822
-0.3342,-0.1887,0.5276
-0.2492,-0.7901,0.5795
-0.108,-1.2463,0.6246
-0.0625,-1.5645,0.519
-0.0215,-1.7401,0.3782
0.003,-1.7728,0.216
-0.0305,-1.6168,0.0477
-0.0804,-1.4222,-0.1215
