ax (m/s^2),ay (m/s^2),az (m/s^2)
0.1852,-0.0744,-0.9695
0.2087,-0.0484,-1.1649
0.1137,-0.0191,-1.2224
0.0992,-0.0922,-1.2276
0.0936,-0.1849,-1.1139
0.0961,-0.2621,-1.0018
0.0689,-0.3101,-0.9021
0.0343,-0.3221,-0.7993
-0.07,-0.2939,-0.6996
-0.2857,-0.2401,-0.5758
-0.4799,-0.2185,-0.5014
-0.6895,-0.2576,-0.472
-0.7433,-0.3643,-0.4809
-0.7651,-0.5337,-0.5308
-0.7256,-0.7083,-0.6295
-0.6264,-0.9142,-0.792
-0.4484,-1.1292,-1.0579
-0.2115,-1.3626,-1.3155
-0.0568,-1.5517,-1.4532
0.0589,-1.7316,-1.5636
0.131,-1.9351,-1.646
0.1258,-2.15,-1.689
0.0721,-2.3211,-1.7239
0.0139,-2.4607,-1.7335
-0.0436,-2.4903,-1.6711
-0.1391,-2.4078,-1.6222
-0.3644,-2.2258,-1.5786
-0.6108,-1.9188,-1.5248
-0.7711,-1.585,-1.4512
-0.9898,-1.2705,-1.3593
-1.0774,-1.0093,-1.2506
-1.2056,-0.79,-1.1453
-1.3014,-0.642,-1.0421
-1.3094,-0.4749,-0.9588
-1.3373,-0.2483,-0.9334
-1.2991,0.0159,-0.9197
-1.2546,0.3274,-0.9658
-1.2637,0.6581,-1.0349
-1.3334,1.0187,-1.1979
-1.3958,1.3285,-1.3197
-1.4182,1.478,-1.3701
-1.3608,1.5061,-1.3472
-1.2369,1.5012,-1.1717
-1.0426,1.5848,-0.9717
-0.8504,1.7609,-0.8202
-0.5605,1.948,-0.7388
-0.2896,2.0188,-0.7167
-0.0713,1.9668,-0.5604
0.1884,2.0305,-0.2244
0.3006,2.4416,0.1042
0.1952,3.4138,0.1748
-0.1671,4.5517,-0.0811
-0.7057,5.1835,-0.1633
-1.2494,4.8093,0.1435
-1.6995,3.8029,0.9184
-1.82,2.7251,1.9056
-1.7582,1.7848,2.7652
-1.7635,1.0403,3.1624
-1.9177,0.4011,3.2401
-1.9603,-0.1482,3.0033
-1.7239,-0.5146,2.4993
-1.2506,-0.7761,1.9999
-0.7574,-0.8813,1.6142
-0.2192,-0.8823,1.282
0.1355,-0.7477,1.0195
0.3411,-0.598,0.7354
0.3461,-0.5567,0.4683
0.331,-0.6425,0.2962
0.3184,-0.8123,0.2861
0.3311,-1.0212,0.3407
0.3108,-1.1666,0.3266
0.2618,-1.1994,0.2075
0.2499,-1.1127,0.0991
0.1077,-0.9144,0.0264
-0.0522,-0.65,-0.0201
-0.0827,-0.4125,-0.053
-0.0293,-0.2319,-0.0452
0.006,-0.1031,0.0261
0.0673,-0.0781,0.0807
-0.0041,-0.1023,0.196
-0.2823,-0.1504,0.3928
-0.3626,-0.2517,0.5672
-0.3091,-0.4424,0.6647
-0.1875,-0.6632,0.66
-0.0162,-0.9497,0.584
0.2367,-1.2782,0.4632
0.3661,-1.5813,0.3044
0.3804,-1.8704,0.0631
0.3328,-2.1159,-0.1927
0.2716,-2.2573,-0.426
0.1601,-2.3682,-0.6329
0.1321,-2.482,-0.7971
0.1425,-2.5431,-0.9699
0.2171,-2.5683,-1.2305
0.2236,-2.5217,-1.4742
0.0882,-2.415,-1.6273
-0.0573,-2.3223,-1.7646
