ax (m/s^2),ay (m/s^2),az (m/s^2)
0,-0.1368,-0.2193
-0.0054,-0.1549,-0.3193
-0.0348,-0.1581,-0.3229
-0.007,-0.2254,-0.3043
-0.0416,-0.2325,-0.206
-0.038,-0.2441,-0.1372
-0.0728,-0.28,0.0355
-0.0403,-0.2541,0.22
-0.1129,-0.2119,0.152
-0.1038,-0.1769,-0.0305
-0.1379,-0.1323,-0.1557
-0.1841,-0.1523,-0.1663
-0.19,-0.1362,-0.1987
-0.2254,-0.1394,-0.1113
-0.1775,-0.1716,0.0229
-0.1706,-0.2138,0.0986
-0.1155,-0.2491,0.0436
-0.0887,-0.2628,-0.0496
-0.124,-0.2192,-0.0374
-0.1518,-0.2233,-0.0494
-0.1194,-0.2416,-0.0595
-0.2062,-0.2716,-0.0923
-0.1222,-0.2818,-0.2039
-0.1553,-0.2748,-0.2864
-0.1813,-0.21,-0.1971
-0.1719,-0.1528,0.0251
-0.1461,-0.0985,0.175
-0.1035,-0.0782,0.1515
-0.051,-0.0676,0.1145
-0.0365,-0.0452,0.0851
-0.0214,-0.0132,0.0437
-0.0394,-0.017,-0.0268
-0.1319,-0.0421,-0.0335
-0.2947,-0.0958,-0.1126
-0.312,-0.1279,-0.0049
-0.2812,-0.1627,0.0412
-0.1846,-0.2054,0.2313
-0.1829,-0.1971,0.571
-0.1978,-0.2556,0.9134
-0.1764,-0.3231,0.9082
-0.08,-0.4062,0.6607
-0.0593,-0.4921,0.2861
-0.0159,-0.5038,-0.0697
0.0022,-0.4811,-0.3943
0.0041,-0.3737,-0.5047
0.0035,-0.2005,-0.4394
-0.0272,-0.0293,-0.0838
-0.069,0.0868,0.2029
0.0321,0.1808,0.3267
0.171,0.2237,0.312
0.2714,0.259,0.2279
0.3378,0.2367,-0.0043
0.4086,0.2674,-0.1825
0.493,0.3176,-0.2612
0.4733,0.3246,-0.215
0.3992,0.3024,-0.1813
0.427,0.287,-0.1237
0.3963,0.2207,-0.2098
0.3598,0.1568,-0.3695
0.3562,-0.005,-0.6787
0.3278,-0.0968,-0.9087
0.3456,-0.2089,-1.2534
0.3449,-0.2454,-1.4443
0.3201,-0.2226,-1.4533
0.2873,-0.1434,-1.3226
0.2338,0.0111,-1.0146
0.2261,0.1112,-0.6902
0.2283,0.1659,-0.3904
0.2022,0.1632,-0.1742
0.244,0.1364,-0.0814
0.3062,0.0876,-0.0802
0.3439,0.0266,-0.1326
0.3764,-0.0418,-0.2322
0.3437,-0.0454,-0.2937
0.3995,-0.0371,-0.4076
0.4443,-0.0313,-0.449
0.4043,-0.0521,-0.506
0.4185,0.0416,-0.4725
0.4398,0.0293,-0.4559
0.334,-0.0192,-0.4378
0.2095,0.0134,-0.3848
0.0146,0.0385,-0.4123
-0.0905,0.0038,-0.5782
-0.1392,-0.0092,-0.8095
-0.0952,-0.0742,-0.9927
-0.1186,-0.0765,-1.0755
-0.0926,-0.0158,-0.9288
-0.0575,0.0121,-0.7418
-0.0089,-0.0072,-0.5266
0.1042,-0.0428,-0.3488
0.2111,-0.1025,-0.1944
0.159,-0.1295,0.0302
0.1351,-0.0929,0.1875
0.0042,-0.091,0.2587
-0.1943,-0.0469,0.1661
-0.1974,-0.1442,-0.2271
-0.0526,-0.3319,-0.8069
0.097,-0.4945,-1.2745
0.3222,-0.7105,-1.6007
0.4785,-0.975,-1.7534
0.5253,-1.106,-1.6985
0.6501,-1.1425,-1.4384
0.711,-1.1114,-1.0902
0.6933,-0.9127,-0.7395
0.6177,-0.6499,-0.5231
0.4802,-0.3018,-0.3461
0.3657,0.0214,-0.2989
0.3384,0.2074,-0.4375
0.3988,0.2467,-0.6692
0.5529,0.2758,-0.7429
0.5107,0.2062,-0.8406
0.7521,0.1047,-0.8638
1.6728,0.1053,-0.9618
0.451,-0.1766,-1.2272
0.3417,-0.319,-1.2642
0.6749,-0.2599,-1.3508
0.7473,-0.1959,-1.2317
0.6129,-0.1228,-1.0412
0.3486,-0.091,-0.9892
0.5527,0.012,-1.045
0.7982,0.0765,-1.232
0.5964,0.1797,-1.3961
0.5365,0.2382,-1.5085
0.6626,0.2241,-1.51
0.8583,0.2172,-1.4652
1.0421,0.3564,-1.2911
1.4236,0.689,-0.9251
1.8735,1.042,-0.4772
0.2337,1.3624,-0.2872
-0.9377,1.9436,0.5983
-2.73,2.3486,0.7285
-3.5377,2.4083,-0.0663
0.9368,1.3143,0.5705
4.2234,1.1363,1.8603
1.95,2.1484,0.9203
0.3194,2.2828,0.231
0.1617,1.7757,0.0082
0.2038,1.7227,-0.5123
0.707,1.7195,-0.4505
0.7715,1.7557,0.0001
0.6727,1.9048,0.5762
0.4575,2.0352,0.9164
0.498,2.0615,0.9183
0.6294,1.991,0.8056
0.7082,1.8308,0.7946
0.7765,1.6329,0.823
0.8544,1.3533,0.9479
0.8544,0.9726,1.0895
0.7868,0.5625,1.1446
0.6589,0.1303,1.0555
0.5121,-0.2257,0.9466
0.2587,-0.4509,0.9504
-0.0166,-0.5594,0.8824
-0.2339,-0.6062,0.6365
-0.442,-0.5906,0.4243
-0.625,-0.6344,0.2801
-0.6576,-0.675,0.1791
-0.5911,-0.7291,0.1303
-0.5512,-0.811,0.1723
-0.5301,-0.8517,0.2798
-0.5201,-0.8901,0.4308
-0.61,-0.9528,0.4754
-0.6819,-1.0521,0.4601
-0.7573,-1.1046,0.472
-0.8602,-1.127,0.5163
-0.9003,-1.0667,0.5134
-0.8613,-0.9929,0.4728
-0.7312,-0.9174,0.372
-0.6277,-0.8495,0.1985
-0.4979,-0.7844,0.0837
-0.2619,-0.7481,-0.124
-0.0633,-0.6899,-0.3349
0.1075,-0.638,-0.5435
0.2098,-0.6254,-0.7249
0.0861,-0.5183,-0.7495
-0.1908,-0.1698,-0.2606
-0.1771,0.0092,0.4664
-0.3842,-0.1545,0.9216
-0.526,-0.3857,0.9613
-0.3736,-0.7099,0.6551
-0.116,-1.0393,0.1399
0.0912,-1.3532,-0.4308
0.1698,-1.581,-0.9102
0.0574,-1.5641,-1.2018
0.0147,-1.4031,-1.2579
-0.1419,-1.0964,-1.0594
-0.1866,-0.7361,-0.6742
-0.35,-0.4432,-0.2086
-0.552,-0.2904,0.1199
-0.8769,-0.1229,0.4236
-1.0338,0.0754,0.7304
-0.9912,0.1107,0.7935
-0.8173,-0.081,0.6372
-0.6114,-0.3235,0.2844
-0.3603,-0.5564,-0.0305
-0.1757,-0.7525,-0.247
