ax (m/s^2),ay (m/s^2),az (m/s^2)
0.7713,-0.6376,0.027
0.9464,-0.5521,0.0551
1.0985,-0.5299,0.1438
0.981,-0.394,0.27
0.7707,-0.2959,0.4786
0.4841,-0.3008,0.7379
0.2495,-0.345,0.9663
-0.0157,-0.4025,1.1029
-0.2047,-0.3947,1.1367
-0.3397,-0.3694,1.0842
-0.3419,-0.324,0.9116
-0.266,-0.2653,0.632
-0.1022,-0.1953,0.352
0.0946,-0.0583,0.0387
0.2789,0.0889,-0.2691
0.4774,0.2615,-0.5354
0.6109,0.4167,-0.6443
0.7105,0.4971,-0.6172
0.8046,0.4972,-0.4498
0.8644,0.3731,-0.1564
0.8753,0.1456,0.1215
0.8897,-0.1068,0.3834
0.8569,-0.3219,0.5336
0.8318,-0.507,0.541
0.8457,-0.6136,0.4282
0.8663,-0.6652,0.2223
0.9044,-0.666,-0.0258
0.9006,-0.6564,-0.2283
0.8335,-0.6625,-0.4078
0.7628,-0.6602,-0.5002
0.6427,-0.6733,-0.5487
0.5639,-0.6684,-0.5316
0.4974,-0.6361,-0.4484
0.4624,-0.5743,-0.3386
0.464,-0.505,-0.1842
0.462,-0.4335,-0.027
0.421,-0.3578,0.1249
0.3718,-0.3095,0.2413
0.355,-0.3031,0.2847
0.3057,-0.3289,0.2812
0.2282,-0.3773,0.2329
0.1384,-0.4434,0.1489
0.0403,-0.4934,0.0264
-0.0092,-0.5653,-0.1163
0.0302,-0.6182,-0.2704
0.1439,-0.6158,-0.4153
0.3955,-0.5456,-0.5983
0.7778,-0.4047,-0.7972
1.1138,-0.2265,-0.9074
1.3311,-0.0256,-0.9308
1.3154,0.0995,-0.8663
1.0702,0.1602,-0.6905
0.663,0.1008,-0.4707
0.2328,-0.0026,-0.2385
-0.0903,-0.1219,-0.0425
-0.3047,-0.2476,0.0487
-0.4182,-0.3944,0.0307
-0.4836,-0.5164,-0.0493
-0.4739,-0.6442,-0.2507
-0.4194,-0.7961,-0.4656
-0.334,-0.9502,-0.6569
-0.2412,-1.1065,-0.806
-0.1584,-1.2649,-0.9245
-0.0363,-1.4086,-1.0127
0.2278,-1.511,-1.1672
0.5778,-1.5883,-1.3732
0.9324,-1.5826,-1.5006
1.2144,-1.5678,-1.5026
1.315,-1.5391,-1.4129
1.2875,-1.5207,-1.2302
1.1388,-1.5276,-1.0174
0.9304,-1.5412,-0.8083
0.7021,-1.5071,-0.5841
0.4667,-1.4447,-0.4295
0.2832,-1.3713,-0.37
0.124,-1.213,-0.2989
-0.0007,-0.999,-0.2792
-0.0858,-0.732,-0.3536
-0.022,-0.5411,-0.4603
0.0974,-0.397,-0.6181
0.2874,-0.3659,-0.8225
0.5078,-0.4946,-0.9708
0.7303,-0.7181,-1.0432
0.8746,-1.01,-1.028
0.9336,-1.2582,-0.967
0.9368,-1.4297,-0.9155
0.8772,-1.4892,-0.9342
0.8006,-1.4252,-1.0003
0.806,-1.2737,-1.0912
0.8173,-1.0804,-1.2259
0.8492,-0.9282,-1.4042
0.8561,-0.7805,-1.552
0.9096,-0.6893,-1.6548
0.9351,-0.6876,-1.6829
0.9404,-0.7368,-1.5756
0.9539,-0.827,-1.2652
0.8918,-0.7901,-1.0423
0.6585,-0.411,-0.8299
0.4489,0.3024,-0.3926
0.2431,1.1411,0.1833
-0.0139,1.9378,0.7513
-0.4226,2.6139,1.3943
-0.9243,3.0825,2.1643
-1.3903,3.3106,2.9176
-1.665,3.2309,3.5494
-1.6383,2.8883,3.9577
-1.2631,2.3553,4.1125
-0.7447,1.749,3.9299
-0.1945,1.0754,3.4517
0.1807,0.4948,2.6821
0.8281,-0.3174,1.806
1.091,-0.6332,0.2609
0.9922,-0.3958,-0.9641
0.3311,0.5153,-2.7115
-0.079,1.6758,-2.8991
-0.1436,2.641,-3.2244
0.1619,3.0632,-2.0787
0.3307,3.0019,-1.7072
0.3204,2.6362,-0.1339
0.0818,2.1938,0.3406
-0.1859,1.9927,2.1649
-0.6694,1.9888,2.4747
-1.202,2.0499,3.6197
-1.8163,2.0961,2.7705
-2.2095,2.0789,2.9353
-2.2454,1.7639,1.3277
-1.9273,1.225,1.0616
-1.5339,0.5696,-0.7701
-0.8318,-0.2135,-0.8574
0.0126,-1.0108,-2.3474
0.6897,-1.4845,-2.0157
1.0122,-1.6991,-3.0372
1.0637,-1.7628,-2.0453
0.9041,-1.8179,-2.3973
0.7514,-1.8776,-0.8621
0.4306,-1.848,-0.8742
0.0816,-1.7305,0.6678
-0.2752,-1.565,0.4014
-0.5943,-1.271,1.5517
-0.9323,-1.0284,0.8202
-1.1307,-0.7148,1.3244
-1.1513,-0.5375,0.3844
-1.1073,-0.4261,-0.004
-1.0275,-0.4132,-0.5957
-0.9093,-0.479,-0.9568
-0.6871,-0.5993,-1.1189
-0.4222,-0.6906,-1.0451
-0.2472,-0.7415,-0.8699
-0.2165,-0.748,-0.6364
-0.2172,-0.7204,-0.4312
-0.2064,-0.7569,-0.2917
-0.0857,-0.8097,-0.257
0.0637,-0.8925,-0.3161
0.1488,-0.9643,-0.5016
0.1096,-1.0101,-0.7435
0.0341,-1.0152,-0.9277
-0.0063,-1.0153,-1.0908
-0.0665,-1.1083,-1.1933
-0.1176,-1.2388,-1.2385
-0.1813,-1.4114,-1.2581
-0.1878,-1.6286,-1.2277
-0.192,-1.8285,-1.2202
-0.2015,-1.9492,-0.8784
-0.2235,-2.0392,-1.2822
-0.338,-1.8801,-0.944
