ax (m/s^2),ay (m/s^2),az (m/s^2)
0.1494,-0.0607,-0.129
0.1753,-0.0501,-0.1348
0.1441,-0.0562,-0.2464
-0.0002,-0.0691,-0.292
-0.107,-0.1171,-0.438
-0.085,-0.1787,-0.5387
-0.0295,-0.1774,-0.4929
-0.0098,-0.1662,-0.3738
-0.0334,-0.1217,-0.2349
-0.0935,-0.0918,-0.1191
-0.1231,-0.0979,-0.1534
-0.0789,-0.0993,-0.1897
-0.0132,-0.0936,-0.1753
0.019,-0.064,-0.1894
0.0342,-0.0297,-0.2202
0.0325,-0.0144,-0.2799
0.0908,-0.0324,-0.3571
0.0869,-0.0335,-0.3464
-0.0228,-0.0632,-0.2952
-0.0348,-0.0785,-0.2774
0.0079,-0.0916,-0.1629
0.0337,-0.1147,-0.0782
0.0234,-0.1045,-0.1388
0.0562,-0.0751,-0.2327
0.039,-0.0792,-0.3128
0.0264,-0.0518,-0.37
0.0517,-0.0286,-0.4147
0.0491,-0.0505,-0.4178
0.0018,-0.0724,-0.3445
0.0854,-0.1471,-0.3027
0.0935,-0.1695,-0.2577
-0.3325,-0.068,0.1296
-0.063,-0.1109,-0.0058
0.1048,-0.1302,-0.1118
-0.0807,-0.1683,-0.2493
-0.2702,-0.1127,-0.3299
-0.1342,-0.0114,-0.4374
0.0005,0.03,-0.3923
0.0266,0.0379,-0.326
-0.0539,0.0838,-0.2546
-0.2229,0.1439,-0.1561
-0.3572,0.1365,-0.0847
-0.4238,0.0929,-0.0209
-0.3869,-0.0108,0.042
-0.2822,-0.0932,0.0752
-0.1619,-0.1278,0.0301
-0.0376,-0.1671,-0.0292
0.046,-0.1584,-0.1009
0.0939,-0.1734,-0.1925
0.14,-0.2001,-0.2614
0.1605,-0.2503,-0.291
0.1677,-0.2644,-0.2981
0.1158,-0.2758,-0.2824
0.0068,-0.275,-0.2509
-0.0902,-0.2141,-0.2082
-0.1851,-0.165,-0.1997
-0.2252,-0.1107,-0.1536
-0.2491,-0.0731,-0.1246
-0.2255,-0.0569,-0.0694
-0.2047,-0.0501,-0.0192
-0.1593,-0.0867,-0.0046
-0.0983,-0.1261,0.0062
-0.0429,-0.1637,0.0181
-0.0482,-0.2138,0.0288
-0.0666,-0.2428,0.0212
-0.1299,-0.2004,-0.007
-0.2125,-0.1199,-0.0369
-0.2481,-0.0538,-0.0591
-0.2686,0.0365,-0.1052
-0.2861,0.0816,-0.1562
-0.2456,0.072,-0.2198
-0.1729,0.015,-0.2913
-0.089,-0.0727,-0.3805
-0.0533,-0.1481,-0.4445
0.0011,-0.2495,-0.4949
0.0528,-0.2835,-0.5584
0.0851,-0.2955,-0.6278
0.1265,-0.2638,-0.701
0.2033,-0.2435,-0.7786
0.3038,-0.2176,-0.8323
0.3757,-0.1837,-0.8857
0.469,-0.1039,-0.8686
0.5021,0.0407,-0.8184
0.5276,0.171,-0.7824
0.5363,0.3108,-0.7555
0.5258,0.3425,-0.7107
0.4939,0.3522,-0.662
0.4477,0.3155,-0.6011
0.3729,0.2393,-0.5535
0.3147,0.1932,-0.5719
0.2441,0.1413,-0.6396
0.2114,0.0981,-0.7598
0.1782,0.0568,-0.871
0.1851,0.0177,-1.0292
0.1987,-0.0306,-1.1833
0.2572,-0.1023,-1.3126
0.3083,-0.1634,-1.4232
0.381,-0.257,-1.4697
0.4591,-0.3616,-1.4575
0.5358,-0.4317,-1.3887
0.5562,-0.4556,-1.2937
0.5561,-0.4145,-1.1764
0.5046,-0.3448,-1.0351
0.4134,-0.2447,-0.9116
0.2945,-0.136,-0.7614
0.1929,-0.0574,-0.6317
0.1066,-0.0328,-0.5605
