ax (m/s^2),ay (m/s^2),az (m/s^2)
-0.2932,-0.1161,-0.3115
-0.2397,-0.1062,-0.0123
-0.0752,-0.1618,0.062
-0.0223,-0.163,-0.0654
-0.0718,-0.0712,-0.0984
-0.1304,-0.0611,-0.138
-0.1169,-0.1062,-0.153
-0.1368,-0.1561,-0.2711
-0.1642,-0.1699,-0.2866
-0.1299,-0.0785,-0.1699
-0.0671,-0.0212,-0.0444
-0.0162,0.112,0.0975
0.0353,0.1066,-0.1776
-0.0065,0.1352,-0.2918
-0.0126,0.1191,-0.3269
-0.0451,-0.0016,-0.3352
-0.0347,-0.0552,-0.2216
-0.0266,-0.0902,-0.0442
-0.0059,-0.1834,-0.0083
0.0178,-0.2078,0.0366
-0.0059,-0.1777,0.0686
-0.0199,-0.2193,-0.072
-0.0608,-0.2486,-0.1751
-0.0712,-0.2777,-0.2168
-0.0948,-0.2828,-0.1816
-0.0859,-0.2833,-0.1481
-0.0467,-0.3053,-0.2729
-0.0757,-0.2668,-0.3966
-0.0598,-0.1537,-0.3421
-0.0225,-0.0832,-0.32
0.0011,-0.0336,-0.4027
-0.0823,-0.0482,-0.4176
0.1238,-0.0436,-0.2892
0.1117,-0.0347,-0.052
0.1183,-0.1079,-0.0406
0.1123,-0.1029,0.0519
0.1148,-0.0771,0.1152
0.0922,-0.0946,-0.0052
0.0678,-0.1047,-0.0952
0.0221,-0.0665,-0.2058
-0.0674,-0.0946,-0.297
-0.1438,-0.103,-0.2722
-0.1136,-0.0181,-0.0794
-0.0939,-0.0054,-0.0146
-0.1473,-0.0887,-0.023
-0.1397,-0.0765,0.0077
-0.1982,-0.019,0.0416
-0.1382,0.0023,0.0695
-0.1556,0.0158,0.0802
-0.1948,0.0451,0.156
-0.2097,0.0061,0.1706
-0.2762,-0.0247,0.206
-0.3035,-0.0641,0.253
-0.2986,-0.0499,0.2203
-0.3409,-0.0702,0.1213
-0.3506,-0.0271,0.0074
-0.5216,-0.0451,0.5032
-0.1386,-0.029,-0.3236
-0.319,-0.0285,-0.6559
-0.4122,-0.1055,-0.7242
-0.3938,-0.1765,-0.6763
-0.3736,-0.225,-0.5521
-0.3558,-0.2559,-0.56
-0.3617,-0.324,-0.6383
-0.3941,-0.2617,-0.6486
-0.3423,-0.2128,-0.5303
-0.2398,-0.1896,-0.3711
-0.2013,-0.1133,-0.2709
-0.1385,-0.0702,-0.155
-0.0802,-0.0343,-0.08
-0.0002,0.0398,0.0339
0.034,0.0845,0.0804
0.0748,0.0975,0.1006
0.1099,0.1168,0.102
0.1149,0.1355,0.0989
0.1108,0.1128,0.132
0.1653,0.0584,0.1267
0.2112,-0.0727,0.0316
0.1987,-0.1894,-0.102
0.2116,-0.2506,-0.1549
0.1853,-0.2899,-0.1826
0.1962,-0.2807,-0.226
0.1722,-0.1851,-0.246
0.1737,-0.051,-0.2204
0.2684,0.0662,-0.2829
0.3737,0.121,-0.4527
0.4637,0.1304,-0.6352
0.4649,0.0995,-0.7787
0.3702,0.088,-0.8137
0.2222,0.0718,-0.7059
0.1422,0.0724,-0.6317
0.0701,0.0607,-0.5953
0.1185,0.0443,-0.6691
0.1216,0.0449,-0.8254
0.0859,0.034,-0.8995
0.0903,0.0115,-0.9055
0.1921,-0.1017,-0.8147
1.1186,-0.3274,-0.8386
0.4778,-0.2535,-0.8278
0.1245,-0.1077,-0.6876
0.0419,-0.0745,-0.6037
0.1184,-0.092,-0.5083
0.2639,-0.1196,-0.4632
0.246,-0.2552,-0.5749
0.216,-0.3907,-0.7564
0.2368,-0.4949,-0.8982
0.2995,-0.5414,-0.9332
0.3276,-0.5304,-0.9403
0.29,-0.4859,-0.96
0.2295,-0.446,-0.9472
0.1651,-0.4178,-0.9669
0.0848,-0.4011,-0.974
0.0325,-0.4081,-0.9686
-0.0057,-0.4246,-0.9378
-0.0197,-0.4295,-0.8711
0.0079,-0.3966,-0.8175
0.0149,-0.3167,-0.8073
0.0131,-0.2115,-0.8089
-0.0533,-0.1359,-0.8361
-0.116,-0.1403,-0.8601
-0.1642,-0.2293,-0.9169
-0.16,-0.405,-0.9972
-0.0992,-0.6482,-1.1182
-0.0436,-0.8749,-1.2837
0.0044,-1.0772,-1.4262
0.0259,-1.2861,-1.5302
0.0113,-1.4557,-1.5709
-0.003,-1.5667,-1.5801
0.017,-1.5906,-1.5139
0.0882,-1.547,-1.397
0.1791,-1.4149,-1.3158
0.3106,-1.2402,-1.2921
0.454,-1.1284,-1.3254
0.6,-1.0529,-1.3354
0.7421,-1.0444,-1.3339
0.8206,-1.0423,-1.2775
0.8087,-1.104,-1.2223
0.6871,-1.1935,-1.1112
0.5032,-1.316,-0.9995
0.3069,-1.3883,-0.9062
0.1766,-1.4183,-0.8306
0.1407,-1.3682,-0.8165
0.1818,-1.2427,-0.9042
0.2832,-1.1399,-1.0514
0.482,-1.0904,-1.2313
0.7099,-1.0865,-1.3935
0.7967,-1.0656,-1.5065
0.8371,-1.0249,-1.5113
0.9166,-1.0746,-1.3677
1.0278,-1.222,-1.1463
1.1061,-1.4316,-0.9684
1.1321,-1.6433,-0.8318
1.0418,-1.7781,-0.8012
0.7313,-1.6592,-0.9075
0.4371,-1.1977,-0.8559
0.1895,-0.4679,-0.7787
0.0048,0.4704,-0.7577
-0.0185,1.5529,-0.6095
0.0514,2.6744,-0.2445
-0.0009,3.5882,0.508
-0.2862,4.1929,1.569
-0.6743,4.367,2.52
-0.8391,3.9684,3.1204
-0.538,2.9748,3.3615
-0.2381,1.8225,3.1489
-0.3545,0.8716,2.5268
-0.4994,0.0782,1.663
-0.3249,-0.6038,0.7417
-0.0354,-1.144,-0.2243
-0.0847,-1.132,-1.0772
-0.5842,-0.4021,-1.5906
-1.0703,0.748,-1.6095
-1.4076,2.0438,-1.1932
-1.5092,3.1986,-0.3381
-1.3876,3.7918,0.5773
-1.1473,3.6858,1.2892
-0.9372,2.9781,1.8325
-0.7367,2.033,2.1015
-0.3999,0.9952,1.9242
0.1468,0.1101,1.3288
0.6443,-0.4221,0.4489
0.731,-0.5428,-0.5624
