ax (m/s^2),ay (m/s^2),az (m/s^2)
-0.6626,-3.2404,-1.1731
-0.9214,-3.0027,-1.3159
-1.1409,-2.6223,-1.5086
-1.2787,-2.1224,-1.6402
-1.318,-1.5365,-1.6893
-1.2555,-0.9248,-1.6136
-1.0512,-0.415,-1.3863
-0.7535,-0.0873,-1.1303
-0.4303,0.0884,-0.8787
-0.2103,0.1953,-0.711
-0.1635,0.3174,-0.6591
-0.2912,0.544,-0.6679
-0.4787,0.8759,-0.7711
-0.6539,1.216,-0.9071
-0.7931,1.4471,-0.9983
-0.8536,1.4755,-0.9965
-0.7525,1.205,-0.9482
-0.5654,0.6947,-0.8662
-0.3595,0.1688,-0.8198
-0.2048,-0.1863,-0.8771
-0.1049,-0.3634,-1.0213
-0.0755,-0.3644,-1.2273
-0.1127,-0.26,-1.4237
-0.2027,-0.1284,-1.589
-0.3385,-0.0173,-1.6089
-0.4556,0.0152,-1.4813
-0.4891,-0.0461,-1.2729
-0.5558,-0.159,-1.0865
-0.6578,-0.2884,-0.9014
-0.7644,-0.3718,-0.8088
-0.8184,-0.3536,-0.7813
-0.8888,-0.2307,-0.8838
-1.0591,0.0056,-1.0058
-1.1941,0.3398,-1.0534
-1.218,0.7438,-0.8617
-1.0781,1.265,-0.4397
-0.7811,1.8202,0.1686
-0.4132,2.3397,0.822
-0.2192,2.6819,1.4434
-0.4282,2.7302,2.0541
-0.9992,2.4457,2.6477
-1.4785,1.7266,2.7914
-1.5171,0.7835,2.4659
-1.0568,-0.1678,1.8019
-0.2191,-0.8466,0.9529
0.8911,-1.0306,0.12
2.0778,-0.6515,-0.5334
3.1286,0.1831,-0.8859
4.0427,1.2596,-0.8072
4.7855,2.4042,-0.4368
5.2062,3.2293,0.1547
4.9349,3.3856,0.9433
3.5389,2.7443,1.755
1.6587,1.8457,2.3588
0.2147,1.058,2.5881
-0.703,0.5205,2.4329
-1.2468,0.1673,2.0154
-1.5008,-0.0241,1.3182
-1.4895,-0.1977,0.5072
-1.2789,-0.3903,-0.1918
-0.9882,-0.5868,-0.6634
-0.6874,-0.7604,-0.9766
-0.3282,-0.9041,-1.1581
0.0775,-1.0206,-1.2159
0.4771,-1.0937,-1.1942
0.8519,-1.1164,-1.0224
1.2024,-1.0677,-0.7537
1.6235,-0.97,-0.4796
2.0204,-0.8194,-0.2386
2.3107,-0.6385,-0.0436
2.3286,-0.4089,0.1574
1.9839,-0.1141,0.3279
1.3997,0.1787,0.4648
0.8023,0.4217,0.4757
0.3226,0.6248,0.4378
-0.0229,0.7236,0.3676
-0.1847,0.6491,0.2596
-0.1916,0.4686,0.0791
-0.0588,0.1799,-0.1105
0.1199,-0.1091,-0.3173
0.2578,-0.3674,-0.4844
0.4045,-0.5281,-0.5978
0.504,-0.6249,-0.7194
0.5213,-0.6534,-0.7839
0.4749,-0.6686,-0.8297
0.3375,-0.7396,-0.8928
0.1634,-0.8928,-0.9276
0.0023,-1.1114,-0.9575
-0.1269,-1.324,-0.9933
-0.2146,-1.4803,-1.0827
-0.2296,-1.58,-1.2121
-0.1858,-1.6969,-1.3327
-0.0925,-1.8044,-1.3979
0.0293,-1.914,-1.4568
0.13,-2.0116,-1.4835
0.2125,-2.0824,-1.5193
0.281,-2.105,-1.5427
0.3752,-2.0984,-1.5296
0.5636,-2.0433,-1.4942
0.75,-1.9949,-1.4773
0.91,-1.9413,-1.4593
1.0605,-1.8632,-1.4377
1.2565,-1.6913,-1.4533
1.4145,-1.4733,-1.495
1.463,-1.2639,-1.5351
1.2936,-1.1039,-1.4375
0.8928,-1.0101,-1.1891
0.3496,-0.9376,-0.8901
-0.148,-0.8631,-0.6474
-0.4328,-0.8498,-0.5341
-0.5186,-0.8023,-0.6153
-0.3473,-0.7253,-0.8529
-0.0074,-0.6373,-1.094
0.4535,-0.5612,-1.3266
0.8916,-0.5936,-1.5474
1.3213,-0.5922,-1.7693
1.7171,-0.4652,-1.8003
1.9762,-0.2033,-1.6382
1.8955,0.3841,-1.1347
1.4866,1.2236,-0.424
1.1327,1.881,0.2712
0.8271,2.188,0.9771
0.256,2.3094,1.6036
-0.4059,2.357,2.1345
-0.532,2.184,2.4243
-0.1605,1.6161,2.4257
0.1913,0.9292,2.2727
-0.0841,0.5265,1.8816
-0.7204,0.531,1.347
-1.1828,0.7692,0.7163
-1.5733,1.319,-0.0629
-2.1206,2.3443,-0.5619
-2.7602,3.7999,-0.5205
-3.1896,5.1847,-0.2162
-2.8772,5.7574,0.2768
-1.6047,5.0573,0.9853
-0.2429,3.7612,1.6811
0.5798,2.4925,2.1724
1.0521,1.3663,2.3294
1.3527,0.3744,2.0191
1.5375,-0.5408,1.2084
1.456,-1.2861,0.1004
1.0965,-1.7827,-1.0701
0.6421,-2.0598,-2.0424
0.1842,-2.0832,-2.708
-0.2642,-1.9151,-2.9709
-0.6793,-1.5345,-2.811
-1.1372,-0.9831,-2.3665
-1.5382,-0.427,-1.671
-1.7983,0.0634,-1.0174
-1.9267,0.4427,-0.422
-1.8753,0.6672,0.0831
-1.6122,0.6742,0.5542
-1.0857,0.5439,1.02
-0.4461,0.4932,1.3963
0.1988,0.5235,1.5389
0.7187,0.5672,1.44
0.8962,0.6133,1.0931
0.6401,0.6399,0.5696
0.0119,0.6106,-0.0147
-0.775,0.4501,-0.4754
-1.4406,0.1638,-0.757
-1.9087,-0.1521,-0.8816
-2.0975,-0.4451,-0.8716
-2.0084,-0.732,-0.8
